"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"albany";0,002748367355421;"suburban";"suburban";1;0;1395,04066817064;0;0;0;0;6,4599996201e-05;0;0;0;-0,270250734178572;-1,11191973108045;-1,38217046525902;0;0,002748367355421;0,002748367355421;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"2";"albany";0,176455920987938;"pericentral";"pericentral";2;2;86943,8624896041;0;0;0;0,000600060006001;0,004026099965871;0;0;0;-0,204248904709218;0,151907220683159;-0,052341684026059;0,005167958656331;0,171287962331607;0,176455920987938;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"3";"albany";0,085588661164047;"pericentral";"pericentral";3;0;43443,8514278658;0;0;0;0;0,002011749693912;0;0;0;-0,270250734178572;-0,490725666729279;-0,760976400907851;0;0,085588661164047;0,085588661164047;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"albany";0,011976886824606;"suburban";"suburban";4;0;6079,33439663499;0;0;0;0;0,000281515075429;0;0;0;-0,270250734178572;-1,04271788191451;-1,31296861609309;0;0,011976886824606;0,011976886824606;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"5";"albany";0,045453520605192;"suburban";"suburban";5;0;23071,7009611887;0;0;0;0;0,001068378742243;0;0;0;-0,270250734178572;-0,791686828753366;-1,06193756293194;0;0,045453520605192;0,045453520605192;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"6";"albany";0,128635811151616;"pericentral";"pericentral";6;0;65294,1054570596;0;0;0;0;0,003023567026179;0;0;0;-0,270250734178572;-0,167928235309155;-0,438178969487728;0;0,128635811151616;0,128635811151616;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"7";"albany";0,108189601873913;"pericentral";"pericentral";7;0;54915,837284117;0;0;0;0;0,002542981692834;0;0;0;-0,270250734178572;-0,321248114535232;-0,591498848713804;0;0,108189601873913;0,108189601873913;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"albany";0,068144620918338;"suburban";"suburban";8;0;34589,450828191;0;0;0;0;0,001601729930224;0;0;0;-0,270250734178572;-0,621533197228516;-0,891783931407088;0;0,068144620918338;0,068144620918338;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"9";"albany";0,013378138412459;"suburban";"suburban";9;0;6790,5941005236;0;0;0;0;0,000314451301029;0;0;0;-0,270250734178572;-1,03221032419088;-1,30246105836945;0;0,013378138412459;0,013378138412459;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"10";"albany";0,007749010500356;"suburban";"suburban";10;0;3933,31144934238;0;0;0;0;0,000182139424664;0;0;0;-0,270250734178572;-1,07442143530246;-1,34467216948103;0;0,007749010500356;0,007749010500356;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant"
"11";"albany";0,023979213111915;"suburban";"suburban";11;0;12171,5815812853;0;0;0;0;0,000563628101925;0;0;0;-0,270250734178572;-0,952716102523111;-1,22296683670168;0;0,023979213111915;0,023979213111915;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"12";"albany";0,14460824783149;"pericentral";"pericentral";12;0;73401,5364721494;0;0;0;0;0,003398996950713;0;0;0;-0,270250734178572;-0,048155810531384;-0,318406544709956;0;0,14460824783149;0,14460824783149;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"13";"albany";0,108708932854963;"pericentral";"pericentral";13;0;55179,4439076554;0;0;0;0;0,002555188496025;0;0;0;-0,270250734178572;-0,317353810108847;-0,587604544287419;0;0,108708932854963;0,108708932854963;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"14";"albany";0,139158700870212;"pericentral";"pericentral";14;0;70635,4071120797;0;0;0;0;0,003270906099867;0;0;0;-0,270250734178572;-0,089020298935651;-0,359271033114223;0;0,139158700870212;0,139158700870212;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"15";"albany";0,123260766753919;"pericentral";"pericentral";15;0;62565,7927687216;0;0;0;0;0,00289722734783;0;0;0;-0,270250734178572;-0,208234051741759;-0,478484785920331;0;0,123260766753919;0,123260766753919;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"16";"albany";0,07396507703519;"suburban";"suburban";16;0;37543,8495457766;0;0;0;0;0,001738538949693;0;0;0;-0,270250734178572;-0,577887374339988;-0,84813810851856;0;0,07396507703519;0,07396507703519;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"17";"albany";0,05474022979103;"suburban";"suburban";17;0;27785,5311419183;0;0;0;0;0,001286661562747;0;0;0;-0,270250734178572;-0,722048632673029;-0,992299366851601;0;0,05474022979103;0,05474022979103;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"18";"albany";0,067610848759597;"suburban";"suburban";18;0;34318,5140236509;0;0;0;0;0,001589183689141;0;0;0;-0,270250734178572;-0,625535791636154;-0,895786525814726;0;0,067610848759597;0,067610848759597;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"19";"albany";0,004508642870637;"suburban";"suburban";19;0;2288,53692006958;0;0;0;0;0,000105975029772;0;0;0;-0,270250734178572;-1,09871996256924;-1,36897069674781;0;0,004508642870637;0,004508642870637;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"20";"albany";0,030100284046961;"suburban";"suburban";20;0;15278,5690334183;0;0;0;0;0,000707503031296;0;0;0;-0,270250734178572;-0,906816060918877;-1,17706679509745;0;0,030100284046961;0,030100284046961;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant"
"21";"albany";0,043975115536512;"suburban";"suburban";21;0;22321,2790094908;0;0;0;0;0,001033629034701;0;0;0;-0,270250734178572;-0,802772936867519;-1,07302367104609;0;0,043975115536512;0,043975115536512;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"22";"albany";0,030097311874312;"suburban";"suburban";22;0;15277,0603916752;0;0;0;0;0,000707433170787;0;0;0;-0,270250734178572;-0,906838348333886;-1,17708908251246;0;0,030097311874312;0,030097311874312;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant"
