"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"bordeaux";0,019047358231213;"suburban";"suburban";1;21;8676,52249233299;0;0;0;0,000358833279224;5,3191071205e-05;0;0;0;-0,042837393926662;-1,55040542655781;-1,59324282048447;0,005133219261794;0,013914138969419;0,019047358231213;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"2";"bordeaux";0,172067662444128;"pericentral";"pericentral";2;96;92664,3329943224;0;0;0;0,001640380705022;0,000568074956158;0;0;0;0,48378339075;-0,102392050449747;0,381391340300253;0,023466145196773;0,148601517247354;0,172067662444128;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"3";"bordeaux";0,332510176104988;"central";"central";3;204;176250,387250134;0;0;0;0,003485808998172;0,001080495890647;0;0;0;1,24211732068439;1,33869474411126;2,58081206479565;0,049865558543143;0,282644617561844;0,332510176104988;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"4";"bordeaux";0,033108340135469;"suburban";"suburban";4;0;20645,5648100526;0;0;0;0;0,000126566802408;0;0;0;-0,190291213636127;-1,34405008437574;-1,53434129801186;0;0,033108340135469;0,033108340135469;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"5";"bordeaux";0,010197159453974;"suburban";"suburban";5;3;5901,42457048753;0;0;0;5,1261897032e-05;3,6178445318e-05;0;0;0;-0,16922638224906;-1,59825021363851;-1,76747659588757;0,000733317037399;0,009463842416575;0,010197159453974;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Low.High";"Low.High";"Low.High";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"bordeaux";0,331699952275624;"central";"central";6;49;199371,22619147;0;0;0;0,000837277651522;0,001222237261286;0;0;0;0,153767699019292;1,73731549459626;1,89108319361555;0,011977511610853;0,319722440664771;0,331699952275624;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"High.High";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"bordeaux";0,300203005277621;"central";"central";7;57;178511,077070976;0;0;0;0,000973976043607;0,001094354958418;0;0;0;0,209940582718136;1,37767074646499;1,58761132918313;0,013933023710584;0,286269981567036;0,300203005277621;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"8";"bordeaux";0,004420384014568;"suburban";"suburban";8;0;2756,44518223119;0;0;0;0;1,6898276019e-05;0;0;0;-0,190291213636127;-1,65247203695502;-1,84276325059115;0;0,004420384014568;0,004420384014568;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"9";"bordeaux";0,553541663509266;"central";"central";9;647;246555,461312138;0;0;0;0,011055482459888;0,001511498311697;0;0;0;4,35269075550787;2,55080739523983;6,9034981507477;0,158152041065754;0,395389622443512;0,553541663509266;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"10";"bordeaux";0,272393318693774;"central";"central";10;58;161017,198917672;0;0;0;0,000991063342617;0,000987109443948;0;0;0;0,216962193180492;1,07606305584198;1,29302524902247;0,014177462723051;0,258215855970724;0,272393318693774;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"High.High";"High.High";"Not significant";"Not significant";"Not significant";"Not significant"
"11";"bordeaux";0,143720270558154;"pericentral";"pericentral";11;29;85200,1425030445;0;0;0;0,000495531671309;0,000522316037391;0;0;0;0,013335489772182;-0,231080339959724;-0,217744850187542;0,007088731361525;0,136631539196629;0,143720270558154;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"12";"bordeaux";0,034298484135291;"suburban";"suburban";12;9;20015,873375843;0;0;0;0,000153785691096;0,000122706504466;0;0;0;-0,127096719474927;-1,35490644096018;-1,4820031604351;0,002199951112198;0,032098533023094;0,034298484135291;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"13";"bordeaux";0,042544267381068;"suburban";"suburban";13;34;21347,0882715607;0;0;0;0,000580968166362;0,000130867463695;0;0;0;0,04844354208396;-1,33195528931148;-1,28351174722752;0,008310926423857;0,03423334095721;0,042544267381068;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"High.High";"Low.High";"Low.High";"Low.Low";"Not significant";"Low.Low";"Not significant"
"14";"bordeaux";0,33919120364877;"central";"central";14;306;164869,033740679;0;0;0;0,005228713497257;0,001010722961981;0;0;0;1,95832158784465;1,14247160147421;3,10079318931886;0,074798337814715;0,264392865834055;0,33919120364877;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"15";"bordeaux";0,142060919054283;"pericentral";"pericentral";15;4;87976,0680691595;0;0;0;6,8349196043e-05;0,000539333737118;0;0;0;-0,162204771786705;-0,183221283665839;-0,345426055452544;0,000977756049866;0,141083163004418;0,142060919054283;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"Low.High";"Low.High";"Low.High";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"16";"bordeaux";0,258382406972443;"central";"central";16;67;150908,494648987;0;0;0;0,001144849033713;0,000925138440125;0;0;0;0,280156687341691;0,901781348666986;1,18193803600868;0,016377413835248;0,242004993137195;0,258382406972443;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"17";"bordeaux";0,220602350371318;"central";"central";17;28;133294,385116024;0;0;0;0,000478444372298;0,000817155852031;0;0;0;0,006313879309827;0,598100778123248;0,604414657433075;0,006844292349059;0,213758058022259;0,220602350371318;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"18";"bordeaux";0,045120567950964;"suburban";"suburban";18;11;26459,4120423976;0;0;0;0,000187960289117;0,000162208358386;0;0;0;-0,113053498550216;-1,24381496086475;-1,35686845941496;0,00268882913713;0,042431738813834;0,045120567950964;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"19";"bordeaux";0,001856630444393;"suburban";"suburban";19;1;1005,32381139802;0;0;0;1,7087299011e-05;6,16309708e-06;0;0;0;-0,183269603173771;-1,68266269382534;-1,86593229699912;0,000244439012466;0,001612191431927;0,001856630444393;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"Low.High";"Low.High";"Low.High";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"20";"bordeaux";0,632860238446718;"central";"central";20;945;250593,582816238;0;0;0;0,01614749756506;0,001536253852715;0;0;0;6,44513067328981;2,62042766414954;9,06555833743935;0,230994866780738;0,40186537166598;0,632860238446718;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"High.High";"High.High";"High.High";"Not significant";"Not significant";"Not significant";"Not significant"
"21";"bordeaux";0,43897886878988;"central";"central";21;161;249196,034436516;0;0;0;0,002751055140714;0,001527686238738;0;0;0;0,940188070803107;2,59633287306616;3,53652094386926;0,039354681007089;0,399624187782791;0,43897886878988;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"High.High";"High.High";"High.High";"Not significant";"Not significant";"Low.Low";"Not significant"
"22";"bordeaux";0,170961692526686;"pericentral";"pericentral";22;7;105540,616608402;0;0;0;0,000119611093075;0,000647012493538;0;0;0;-0,141139940399638;0,119604817861365;-0,021535122538273;0,001711073087265;0,169250619439422;0,170961692526686;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"23";"bordeaux";0,268617524923234;"central";"central";23;43;160949,099070922;0;0;0;0,000734753857458;0,000986691960584;0;0;0;0,111638036245159;1,0748889629776;1,18652699922276;0,010510877536055;0,25810664738718;0,268617524923234;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
