"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"boston";0,034049624367805;"suburban";"suburban";1;0;34067,9583637841;0;0;0;0;0,0004648323409;0;0;0;-0,189108575500323;-0,78473722011644;-0,973845795616763;0;0,034049624367805;0,034049624367805;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"2";"boston";0,041868981574882;"pericentral";"pericentral";2;0;41891,5258981783;0;0;0;0;0,000571579190017;0;0;0;-0,189108575500323;-0,723382334139696;-0,912490909640019;0;0,041868981574882;0,041868981574882;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"3";"boston";0,070800961884717;"pericentral";"pericentral";3;6;69112,0332037592;0;0;0;0,00026402640264;0,00094298307622;0;0;0;-0,157000980364107;-0,509910524173098;-0,666911504537204;0,001726121979287;0,06907483990543;0,070800961884717;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"4";"boston";0,005550924707608;"suburban";"suburban";4;0;5553,91359906159;0;0;0;0;7,5779083438e-05;0;0;0;-0,189108575500323;-1,00835335912006;-1,19746193462039;0;0,005550924707608;0,005550924707608;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"5";"boston";0,00312054657083;"suburban";"suburban";5;0;3122,2268269076;0;0;0;0;4,2600498371e-05;0;0;0;-0,189108575500323;-1,02742341430662;-1,21653198980694;0;0,00312054657083;0,00312054657083;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"6";"boston";0,021332161998807;"suburban";"suburban";6;0;21343,6482862357;0;0;0;0;0,000291218449027;0;0;0;-0,189108575500323;-0,884525275950123;-1,07363385145045;0;0,021332161998807;0,021332161998807;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"7";"boston";0,017900320922287;"suburban";"suburban";7;0;17909,9593373328;0;0;0;0;0,000244368278113;0;0;0;-0,189108575500323;-0,911453348471179;-1,1005619239715;0;0,017900320922287;0,017900320922287;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"boston";0,03992583894726;"pericentral";"pericentral";8;0;39947,3369867927;0;0;0;0;0,000545052156222;0;0;0;-0,189108575500323;-0,73862927723195;-0,927737852732273;0;0,03992583894726;0,03992583894726;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"9";"boston";0,144376960536086;"pericentral";"pericentral";9;7;142439,806897772;0;0;0;0,00030803080308;0,001943486843871;0;0;0;-0,15164971450807;0,065149021762425;-0,086500692745646;0,002013808975834;0,142363151560252;0,144376960536086;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"10";"boston";0,029535672126832;"suburban";"suburban";10;0;29551,575588444;0;0;0;0;0,000403209605676;0;0;0;-0,189108575500323;-0,820156119357754;-1,00926469485808;0;0,029535672126832;0,029535672126832;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
