"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"brussels";0,034753450163934;"suburban";"suburban";1;32;23765,8555096264;0;0;0;0,000242978306593;0,000115082806935;0;0;0;-0,584696326705731;-0,946329758211162;-1,53102608491689;0,004915615271178;0,029837834892756;0,034753450163934;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"brussels";0,314503852924523;"pericentral";"pericentral";2;248;202807,012914458;1;75,3307393;1542;0,001883081876096;0,000982064386565;0,043478260869565;0,737129120843957;1,46517392382054;-0,460061126243448;-0,226263311519164;-0,686324437762612;0,04030804522366;0,274195807700862;0,314503852924523;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"3";"brussels";0,049804038546367;"suburban";"suburban";3;12;37194,5411284242;0;0;0;9,1116864972e-05;0,000180109325077;0;0;0;-0,596236623044832;-0,892322366405669;-1,4885589894505;0,001638538423726;0,048165500122641;0,049804038546367;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"brussels";0,331841483514999;"pericentral";"pericentral";4;481;187537,308314571;1;96,558;1000;0,003652267670977;0,000908122993389;0,043478260869565;0,944842892978893;0,950177641906965;-0,325616673892928;-0,287674900299368;-0,613291574192296;0,078485990496477;0,253355493018522;0,331841483514999;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"5";"brussels";1,5980652591222;"central";"central";5;4078;683459,274638596;7;115,769888705714;320,857142857143;0,030964547946454;0,003309555244884;0,304347826086957;1,13283577295047;0,304871283389006;1,74990562269427;1,70682051798044;3,45672614067471;0,667868261510732;0,930196997611469;1,5980652591222;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"High.High";"Not significant";"Not significant"
"6";"brussels";1,05361447308621;"central";"central";6;2032;530174,106443232;7;104,128284624286;1825,71428571429;0,01542912246866;0,00256729341424;0,304347826086957;1,01891992051761;1,73475289479586;0,569333307204304;1,09033932453367;1,65967263173797;0,332623300016385;0,720991173069821;1,05361447308621;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"brussels";0,133754537925716;"pericentral";"pericentral";7;68;91981,9738897156;0;0;0;0,00051632890151;0,000445409749224;0;0;0;-0,563923793295351;-0,671978661060882;-1,23590245435623;0,010814353596592;0,122940184329124;0,133754537925716;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"brussels";1,01609823459484;"central";"central";8;1726;539423,009508053;4;100,15780136;1562,5;0,013105642411863;0,002612079924254;0,173913043478261;0,980067801646551;1,48465256547963;0,392766773216069;1,12753649674936;1,52030326996543;0,282484024250369;0,733614210344475;1,01609823459484;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"9";"brussels";2;"central";"central";9;6105;734603,954692842;3;79,5575;129,333333333333;0,046355705054708;0,003557216152275;0,130434782608696;0,778488975104789;0,122889641686634;2,91951465666209;1,912513826534;4,8320284831961;1;1;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"10";"brussels";0,640650694618751;"pericentral";"pericentral";10;814;373823,3393486;0;0;0;0,006180760673961;0,001810186852839;0;0;0;-0,133470739846908;0,461528927353104;0,328058187506197;0,133049320006554;0,507601374612197;0,640650694618751;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"11";"brussels";0,009173056632296;"suburban";"suburban";11;3;8504,71073912569;0;0;0;2,2779216243e-05;4,1182863526e-05;0;0;0;-0,601429756397427;-1,00770692113074;-1,60913667752817;0,000163853842373;0,009009202789923;0,009173056632296;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"12";"brussels";0,084401626026086;"pericentral";"pericentral";12;50;57982,0846950723;0;0;0;0,000379653604052;0,000280770076042;0;0;0;-0,574310060000541;-0,808719172321941;-1,38302923232248;0,007864984433885;0,076536641592201;0,084401626026086;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"13";"brussels";0,46849676749923;"pericentral";"pericentral";13;457;290546,012629679;0;0;0;0,003470033941032;0,001406928131142;0;0;0;-0,339465029499849;0,126604770194567;-0,212860259305282;0,074553498279535;0,393943269219695;0,46849676749923;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
