"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"buffalo";0;"pericentral";"pericentral";1;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"2";"buffalo";0;"pericentral";"pericentral";2;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"3";"buffalo";0;"pericentral";"pericentral";3;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"4";"buffalo";0;"pericentral";"pericentral";4;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"5";"buffalo";0;"pericentral";"pericentral";5;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"6";"buffalo";0;"pericentral";"pericentral";6;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant"
"7";"buffalo";0;"pericentral";"pericentral";7;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"8";"buffalo";0;"pericentral";"pericentral";8;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"9";"buffalo";0;"pericentral";"pericentral";9;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"10";"buffalo";0;"pericentral";"pericentral";10;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"11";"buffalo";0;"pericentral";"pericentral";11;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"12";"buffalo";0;"pericentral";"pericentral";12;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"13";"buffalo";0;"pericentral";"pericentral";13;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"14";"buffalo";0;"pericentral";"pericentral";14;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"15";"buffalo";0;"pericentral";"pericentral";15;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"16";"buffalo";0;"pericentral";"pericentral";16;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"17";"buffalo";0;"pericentral";"pericentral";17;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"18";"buffalo";0;"pericentral";"pericentral";18;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"19";"buffalo";0;"pericentral";"pericentral";19;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"20";"buffalo";0;"pericentral";"pericentral";20;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"21";"buffalo";0;"pericentral";"pericentral";21;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"22";"buffalo";0;"pericentral";"pericentral";22;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"23";"buffalo";0;"pericentral";"pericentral";23;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"24";"buffalo";0;"pericentral";"pericentral";24;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"25";"buffalo";0;"pericentral";"pericentral";25;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"26";"buffalo";0;"pericentral";"pericentral";26;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"27";"buffalo";0;"pericentral";"pericentral";27;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"28";"buffalo";0;"pericentral";"pericentral";28;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"29";"buffalo";0;"pericentral";"pericentral";29;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"30";"buffalo";0,021769987774203;"pericentral";"pericentral";30;0;9616,9438996826;0;0;0;0;0,000560026974767;0;0;0;-0,383469958217694;-0,717079427970056;-1,10054938618775;0;0,021769987774203;0,021769987774203;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"31";"buffalo";0,350574660227631;"central";"central";31;22;101760,346897494;0;0;0;0,007380073800738;0,00592584711097;0;0;0;0,567422336698506;0,339213711393029;0,906636048091535;0,120218579234973;0,230356080992658;0,350574660227631;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"32";"buffalo";0,073917037652992;"pericentral";"pericentral";32;2;27825,1324072381;0;0;0;0,000670915800067;0,001620351006211;0;0;0;-0,297025204134403;-0,508348428516765;-0,805373632651168;0,010928961748634;0,062988075904358;0,073917037652992;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"33";"buffalo";0;"pericentral";"pericentral";33;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"34";"buffalo";0;"pericentral";"pericentral";34;0;0;0;0;0;0;0;0;0;0;-0,383469958217694;-0,827324019903737;-1,21079397812143;0;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
