"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"chicago";0,001014586237683;"suburban";"suburban";1;0;831,625626803515;0;0;0;0;6,393261314e-06;0;0;0;-0,253267825427292;-0,899028305273022;-1,15229613070031;0;0,001014586237683;0,001014586237683;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"2";"chicago";0,040800648813775;"pericentral";"pericentral";2;0;33443,0567688652;0;0;0;0;0,000257099101032;0;0;0;-0,253267825427292;-0,680750819385689;-0,934018644812981;0;0,040800648813775;0,040800648813775;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"3";"chicago";0,030733250555623;"pericentral";"pericentral";3;0;25191,1151637486;0;0;0;0;0,000193660917641;0;0;0;-0,253267825427292;-0,735983386745506;-0,989251212172797;0;0,030733250555623;0,030733250555623;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"4";"chicago";0,055203341918784;"pericentral";"pericentral";4;0;45248,5083275847;0;0;0;0;0,000347855487447;0;0;0;-0,253267825427292;-0,601733609905472;-0,855001435332763;0;0,055203341918784;0,055203341918784;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"5";"chicago";0,030216064690207;"pericentral";"pericentral";5;0;24767,1935654397;0;0;0;0;0,000190401949342;0;0;0;-0,253267825427292;-0,738820813299683;-0,992088638726975;0;0,030216064690207;0,030216064690207;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"6";"chicago";0,021713800999763;"suburban";"suburban";6;0;17798,1453877704;0;0;0;0;0,000136826224076;0;0;0;-0,253267825427292;-0,785466613927775;-1,03873443935507;0;0,021713800999763;0,021713800999763;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"chicago";0,002264088535684;"suburban";"suburban";7;0;1855,80483717819;0;0;0;0;1,4266810556e-05;0;0;0;-0,253267825427292;-0,892173185601493;-1,14544101102878;0;0,002264088535684;0,002264088535684;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"8";"chicago";0,066693831734778;"pericentral";"pericentral";8;0;54666,9150047016;0;0;0;0;0,000420261066476;0;0;0;-0,253267825427292;-0,538693563561293;-0,791961388988585;0;0,066693831734778;0,066693831734778;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"9";"chicago";0,115372672120243;"pericentral";"pericentral";9;11;88720,2968990833;0;0;0;0,000437549721559;0,000682052144147;0;0;0;-0,113083983310316;-0,310764695506196;-0,423848678816512;0,007133592736706;0,108239079383538;0,115372672120243;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"10";"chicago";0,066430688895425;"pericentral";"pericentral";10;0;54451,2247847993;0;0;0;0;0,00041860291178;0;0;0;-0,253267825427292;-0,540137238900951;-0,793405064328243;0;0,066430688895425;0,066430688895425;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"11";"chicago";0,075394044806974;"pericentral";"pericentral";11;0;61798,216298529;0;0;0;0;0,000475084139752;0;0;0;-0,253267825427292;-0,490961757166754;-0,744229582594046;0;0,075394044806974;0,075394044806974;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"12";"chicago";0,078375233835103;"pericentral";"pericentral";12;0;64241,806702238;0;0;0;0;0,000493869650312;0;0;0;-0,253267825427292;-0,474606118938658;-0,72787394436595;0;0,078375233835103;0,078375233835103;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"13";"chicago";0,064767906358314;"pericentral";"pericentral";13;0;53088,2922727043;0;0;0;0;0,000408125139785;0;0;0;-0,253267825427292;-0,549259729750195;-0,802527555177487;0;0,064767906358314;0,064767906358314;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"14";"chicago";0,051507622399251;"pericentral";"pericentral";14;0;42219,2389094032;0;0;0;0;0,000324567471355;0;0;0;-0,253267825427292;-0,622009362594632;-0,875277188021924;0;0,051507622399251;0,051507622399251;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"15";"chicago";0,007025560756663;"suburban";"suburban";15;0;5758,63948366576;0;0;0;0;4,4270505673e-05;0;0;0;-0,253267825427292;-0,866050415007396;-1,11931824043469;0;0,007025560756663;0,007025560756663;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"16";"chicago";0,062195827993742;"pericentral";"pericentral";16;0;50980,0374958511;0;0;0;0;0,000391917578029;0;0;0;-0,253267825427292;-0,56337087226022;-0,816638697687512;0;0,062195827993742;0,062195827993742;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"17";"chicago";0,092393843270597;"pericentral";"pericentral";17;0;75732,4365035338;0;0;0;0;0,000582205791731;0;0;0;-0,253267825427292;-0,39769610007555;-0,650963925502842;0;0,092393843270597;0,092393843270597;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
