"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"cincinnati";0,048681801083155;"suburban";"suburban";1;0;30439,2651448666;0;0;0;0;0,000632464950733;0;0;0;-0,250066662153956;-0,837344316139903;-1,08741097829386;0;0,048681801083155;0,048681801083155;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"cincinnati";0,102476276903296;"pericentral";"pericentral";2;0;64075,3319374938;0;0;0;0;0,00133135282551;0;0;0;-0,250066662153956;-0,468496289983434;-0,71856295213739;0;0,102476276903296;0,102476276903296;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"3";"cincinnati";0,038723089370988;"suburban";"suburban";3;0;24212,3824173739;0;0;0;0;0,000503083211105;0;0;0;-0,250066662153956;-0,905627371269492;-1,15569403342345;0;0,038723089370988;0,038723089370988;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"4";"cincinnati";0,013824535170276;"suburban";"suburban";4;0;8644,06579439733;0;0;0;0;0,000179605802596;0;0;0;-0,250066662153956;-1,07634717903913;-1,32641384119308;0;0,013824535170276;0,013824535170276;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"5";"cincinnati";0,046457883250942;"suburban";"suburban";5;0;29048,7162529;0;0;0;0;0,00060357222181;0;0;0;-0,250066662153956;-0,852592865182159;-1,10265952733612;0;0,046457883250942;0,046457883250942;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"cincinnati";0,087698650658675;"pericentral";"pericentral";6;0;54835,3269774594;0;0;0;0;0,001139364640053;0;0;0;-0,250066662153956;-0,569820788242895;-0,819887450396851;0;0,087698650658675;0,087698650658675;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"7";"cincinnati";0,12539741528905;"pericentral";"pericentral";7;0;78407,2299614469;0;0;0;0;0,001629140013687;0;0;0;-0,250066662153956;-0,311334861752187;-0,561401523906143;0;0,12539741528905;0,12539741528905;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"8";"cincinnati";0,126564655564063;"pericentral";"pericentral";8;0;79137,0701774696;0;0;0;0;0,001644304583333;0;0;0;-0,250066662153956;-0,303331544219573;-0,553398206373529;0;0,126564655564063;0,126564655564063;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"9";"cincinnati";0,038324380832181;"suburban";"suburban";9;1;23112,3746132194;0;0;0;0,000167757087737;0,000480227324855;0;0;0;-0,22535784416894;-0,917689890642538;-1,14304773481148;0,001360544217687;0,036963836614494;0,038324380832181;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"10";"cincinnati";0,020949869845056;"suburban";"suburban";10;0;13099,3231305231;0;0;0;0;0,000272176832094;0;0;0;-0,250066662153956;-1,0274915002649;-1,27755816241885;0;0,020949869845056;0,020949869845056;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"11";"cincinnati";0,017392081279905;"suburban";"suburban";11;0;10874,7450119157;0;0;0;0;0,000225954701451;0;0;0;-0,250066662153956;-1,05188588778761;-1,30195254994157;0;0,017392081279905;0,017392081279905;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"12";"cincinnati";0,117186106491107;"pericentral";"pericentral";12;0;73272,9456883567;0;0;0;0;0,001522460209349;0;0;0;-0,250066662153956;-0,367636647318585;-0,617703309472541;0;0,117186106491107;0,117186106491107;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"13";"cincinnati";0,155128467242233;"pericentral";"pericentral";13;3;94445,0399338974;0;0;0;0,000503271263211;0,001962372522613;0;0;0;-0,175940208198908;-0,135466660851018;-0,311406869049926;0,004081632653061;0,151046834589172;0,155128467242233;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"14";"cincinnati";0,174898554521728;"pericentral";"pericentral";14;2;107657,387885497;0;0;0;0,000335514175474;0,00223689777664;0;0;0;-0,200649026183924;0,009417950446883;-0,191231075737042;0,002721088435374;0,172177466086354;0,174898554521728;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"15";"cincinnati";0,097679892785496;"pericentral";"pericentral";15;0;61076,2972951858;0;0;0;0;0,001269039090659;0;0;0;-0,250066662153956;-0,501383250727389;-0,751449912881345;0;0,097679892785496;0,097679892785496;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"16";"cincinnati";0,055054419710679;"suburban";"suburban";16;1;33573,1644356144;0;0;0;0,000167757087737;0,000697580893943;0;0;0;-0,22535784416894;-0,802978450038733;-1,02833629420767;0,001360544217687;0,053693875492992;0,055054419710679;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"17";"cincinnati";0,015983652028562;"suburban";"suburban";17;0;9994,09658754451;0;0;0;0;0,000207656649258;0;0;0;-0,250066662153956;-1,06154294534638;-1,31160960750034;0;0,015983652028562;0,015983652028562;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"18";"cincinnati";0,057245971819596;"suburban";"suburban";18;0;35794,183368766;0;0;0;0;0,000743729072076;0;0;0;-0,250066662153956;-0,778623092005946;-1,0286897541599;0;0,057245971819596;0,057245971819596;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
