"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"dayton";0,04971137107403;"suburban";"suburban";1;0;27420,1002100761;0;0;0;0;0,001609371538493;0;0;0;-0,379400393738457;-0,893698372592423;-1,27309876633088;0;0,04971137107403;0,04971137107403;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"dayton";0,143467517148538;"pericentral";"pericentral";2;3;70190,0460204688;0;0;0;0,001494023904382;0,00411967357834;0;0;0;-0,271135241541178;-0,490820209852439;-0,761955451393617;0,016216216216216;0,127251300932321;0,143467517148538;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"3";"dayton";0,141144955225772;"pericentral";"pericentral";3;4;65927,4068298682;0;0;0;0,00199203187251;0,003869485937169;0;0;0;-0,235046857475419;-0,530972803291436;-0,766019660766855;0,021621621621622;0,11952333360415;0,141144955225772;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"dayton";0,025589309584736;"suburban";"suburban";4;0;14114,7069163552;0;0;0;0;0,000828436344555;0;0;0;-0,379400393738457;-1,01903059602967;-1,39843098976813;0;0,025589309584736;0,025589309584736;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"5";"dayton";0,023368316232327;"suburban";"suburban";5;0;12889,6379035074;0;0;0;0;0,000756533208284;0;0;0;-0,379400393738457;-1,03057032430788;-1,40997071804634;0;0,023368316232327;0,023368316232327;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"dayton";0,158129296210025;"pericentral";"pericentral";6;0;87221,9183367645;0;0;0;0;0,005119327494376;0;0;0;-0,379400393738457;-0,33038583714524;-0,709786230883698;0;0,158129296210025;0,158129296210025;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"dayton";0,213225165993925;"pericentral";"pericentral";7;1;114630,486704643;0;0;0;0,000498007968127;0,006728022192942;0;0;0;-0,343312009672698;-0,072206560595842;-0,41551857026854;0,005405405405405;0,20781976058852;0,213225165993925;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"dayton";0,135038833978517;"pericentral";"pericentral";8;1;71503,9944634999;0;0;0;0,000498007968127;0,004196793326665;0;0;0;-0,343312009672698;-0,478443267945376;-0,821755277618074;0,005405405405405;0,129633428573112;0,135038833978517;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"9";"dayton";0,092014243235576;"suburban";"suburban";9;0;50753,7755600519;0;0;0;0;0,002978898006631;0;0;0;-0,379400393738457;-0,673903185181051;-1,05330357891951;0;0,092014243235576;0,092014243235576;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"10";"dayton";0,112777725566571;"pericentral";"pericentral";10;2;56243,5306109641;0;0;0;0,000996015936255;0,003301108919959;0;0;0;-0,307223625606938;-0,622191582865514;-0,929415208472453;0,010810810810811;0,10196691475576;0,112777725566571;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"11";"dayton";0,018251101565529;"suburban";"suburban";11;0;10067,0535344081;0;0;0;0;0,000590866893652;0;0;0;-0,379400393738457;-1,0571580971763;-1,43655849091476;0;0,018251101565529;0,018251101565529;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"12";"dayton";0,06192036830654;"suburban";"suburban";12;0;34154,4131116735;0;0;0;0;0,002004629449008;0;0;0;-0,379400393738457;-0,830263463856755;-1,20966385759521;0;0,06192036830654;0,06192036830654;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"13";"dayton";0,104861379626368;"suburban";"suburban";13;0;57840,0771372795;0;0;0;0;0,003394815234657;0;0;0;-0,379400393738457;-0,607152664319712;-0,98655305805817;0;0,104861379626368;0,104861379626368;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"14";"dayton";0,042507349885239;"suburban";"suburban";14;0;23446,4624156566;0;0;0;0;0,001376146294179;0;0;0;-0,379400393738457;-0,931128672390018;-1,31052906612847;0;0,042507349885239;0,042507349885239;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"15";"dayton";0,136145402733094;"pericentral";"pericentral";15;0;75095,9087514045;0;0;0;0;0,004407614023139;0;0;0;-0,379400393738457;-0,444608672141917;-0,824009065880374;0;0,136145402733094;0,136145402733094;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"16";"dayton";0,138131727384201;"pericentral";"pericentral";16;0;76191,5377756368;0;0;0;0;0,004471919921178;0;0;0;-0,379400393738457;-0,43428822398694;-0,813688617725397;0;0,138131727384201;0,138131727384201;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"17";"dayton";0,274455418842454;"pericentral";"pericentral";17;7;130514,963527163;0;0;0;0,003486055776892;0,007660331874751;0;0;0;-0,12678170527814;0,077419741637811;-0,049361963640329;0,037837837837838;0,236617581004616;0,274455418842454;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"18";"dayton";0,211591941674371;"pericentral";"pericentral";18;6;98821,8910656511;0;0;0;0,002988047808765;0,005800166215392;0;0;0;-0,162870089343899;-0,221118088208505;-0,383988177552404;0,032432432432432;0,179159509241938;0,211591941674371;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"19";"dayton";0,142645229317662;"pericentral";"pericentral";19;0;78681,1226058274;0;0;0;0;0,004618041450191;0;0;0;-0,379400393738457;-0,410837192114723;-0,79023758585318;0;0,142645229317662;0,142645229317662;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"20";"dayton";0,166497288598983;"pericentral";"pericentral";20;1;88856,0400721942;0;0;0;0,000498007968127;0,005215239215751;0;0;0;-0,343312009672698;-0,314992973067694;-0,658304982740392;0,005405405405405;0,161091883193578;0,166497288598983;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"21";"dayton";0,122752480749667;"pericentral";"pericentral";21;0;67708,5594396263;0;0;0;0;0,003974027360939;0;0;0;-0,379400393738457;-0,514194959004233;-0,89359535274269;0;0,122752480749667;0,122752480749667;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"22";"dayton";0,150133731968275;"pericentral";"pericentral";22;1;79830,1300457121;0;0;0;0,000498007968127;0,004685480294583;0;0;0;-0,343312009672698;-0,400013937663864;-0,743325947336562;0,005405405405405;0,14472832656287;0,150133731968275;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"23";"dayton";0,382198155297199;"central";"central";23;7;189944,356977151;0;0;0;0,003486055776892;0,01114842906023;0;0;0;-0,12678170527814;0,637224164865887;0,510442459587747;0,037837837837838;0,344360317459361;0,382198155297199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"24";"dayton";0,121252629657432;"pericentral";"pericentral";24;0;66881,2624578544;0;0;0;0;0,003925470710666;0;0;0;-0,379400393738457;-0,521987811712865;-0,901388205451322;0;0,121252629657432;0,121252629657432;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"25";"dayton";0,103056760090596;"suburban";"suburban";25;0;56844,6741249939;0;0;0;0;0,003336391915084;0;0;0;-0,379400393738457;-0,616529017952548;-0,995929411691005;0;0,103056760090596;0,103056760090596;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"26";"dayton";0,035484233158878;"suburban";"suburban";26;0;19572,6090041885;0;0;0;0;0,001148777707742;0;0;0;-0,379400393738457;-0,967619037658544;-1,347019431397;0;0,035484233158878;0,035484233158878;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"27";"dayton";0,12442195500604;"pericentral";"pericentral";27;0;68629,4181972675;0;0;0;0;0,004028075444795;0;0;0;-0,379400393738457;-0,50552078658264;-0,884921180321097;0;0,12442195500604;0,12442195500604;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"28";"dayton";0,674260144220494;"central";"central";28;14;330170,859444841;1;45,2088;10451,50502;0,006972111553785;0,01937876156394;0,014925373134328;0,870452858203415;1,0656097517247;0,125836983182178;1,95810953451508;2,08394651769726;0,075675675675676;0,598584468544819;0,674260144220494;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"High.Low";"Not significant";"Not significant";"High.Low"
"29";"dayton";0,104083633321872;"suburban";"suburban";29;0;57411,0831033884;0;0;0;0;0,003369636231552;0;0;0;-0,379400393738457;-0,611193640405271;-0,990594034143729;0;0,104083633321872;0,104083633321872;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"30";"dayton";0,105129710261844;"suburban";"suburban";30;0;57988,0845801486;0;0;0;0;0,003403502254917;0;0;0;-0,379400393738457;-0,60575848517066;-0,985158878909118;0;0,105129710261844;0,105129710261844;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"31";"dayton";0,151697562887153;"pericentral";"pericentral";31;0;83674,2637775089;0;0;0;0;0,004911104539962;0;0;0;-0,379400393738457;-0,36380352154459;-0,743203915283048;0;0,151697562887153;0,151697562887153;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"32";"dayton";0,279506523036002;"pericentral";"pericentral";32;2;148208,814121432;0;0;0;0,000996015936255;0,008698839368692;0;0;0;-0,307223625606938;0,244089721787343;-0,063133903819595;0,010810810810811;0,268695712225191;0,279506523036002;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"33";"dayton";0,174713086941253;"pericentral";"pericentral";33;1;93387,7600586603;0;0;0;0,000498007968127;0,00548122005137;0;0;0;-0,343312009672698;-0,272305731183092;-0,61561774085579;0,005405405405405;0,169307681535848;0,174713086941253;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"34";"dayton";0,205280100710534;"pericentral";"pericentral";34;1;110248,099304349;0;0;0;0,000498007968127;0,006470806154392;0;0;0;-0,343312009672698;-0,113487140937761;-0,456799150610459;0,005405405405405;0,199874695305128;0,205280100710534;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"35";"dayton";0,353902431503067;"central";"central";35;1;192226,107871392;1;51,6672;5750,650316;0,000498007968127;0,011282352164777;0,014925373134328;0,994803266518189;0,586322165445253;-0,343312009672698;0,658717472624032;0,315405462951334;0,005405405405405;0,348497026097662;0,353902431503067;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"36";"dayton";0,343748322629995;"central";"central";36;6;171717,510939175;0;0;0;0,002988047808765;0,010078638394796;0;0;0;-0,162870089343899;0,465533551160684;0,302663461816784;0,032432432432432;0,311315890197563;0,343748322629995;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
