"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"denver";0,038240046340665;"pericentral";"pericentral";1;2;42695,7485616629;0;0;0;0,000110840168477;0,000618460107111;0;0;0;-0,151864683577193;-0,3533471844373;-0,505211868014493;0,000904159132007;0,037335887208657;0,038240046340665;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"2";"denver";0,03441234105172;"pericentral";"pericentral";2;0;39352,5042742718;0;0;0;0;0,000570032259146;0;0;0;-0,173193507729176;-0,379164617777746;-0,552358125506922;0;0,03441234105172;0,03441234105172;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"3";"denver";0,076302456536548;"central";"central";3;0;87256,2765340223;0;0;0;0;0,00126393207636;0;0;0;-0,173193507729176;-0,009238779053867;-0,182432286783044;0;0,076302456536548;0,076302456536548;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"denver";0,025839208068427;"suburban";"suburban";4;0;29548,630371538;0;0;0;0;0,00042802034676;0;0;0;-0,173193507729176;-0,454872774048753;-0,628066281777929;0;0,025839208068427;0,025839208068427;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"5";"denver";0,024848025436452;"suburban";"suburban";5;0;28415,1556479566;0;0;0;0;0,000411601641794;0;0;0;-0,173193507729176;-0,463625771318353;-0,636819279047529;0;0,024848025436452;0,024848025436452;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"denver";0,008810377236342;"suburban";"suburban";6;0;10075,1764412073;0;0;0;0;0,00014594180711;0;0;0;-0,173193507729176;-0,605252033096815;-0,778445540825991;0;0,008810377236342;0,008810377236342;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"7";"denver";0,040896388675466;"pericentral";"pericentral";7;0;46767,3881220328;0;0;0;0;0,000677438968554;0;0;0;-0,173193507729176;-0,321904886507525;-0,495098394236701;0;0,040896388675466;0,040896388675466;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"8";"denver";0,004264940710635;"suburban";"suburban";8;0;4877,20661876901;0;0;0;0;7,0647730265e-05;0;0;0;-0,173193507729176;-0,645392156839063;-0,818585664568239;0;0,004264940710635;0,004264940710635;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"9";"denver";0,016347262606699;"suburban";"suburban";9;0;18694,0412056217;0;0;0;0;0,000270788523819;0;0;0;-0,173193507729176;-0,538694836733751;-0,711888344462927;0;0,016347262606699;0,016347262606699;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"10";"denver";0,036818334234362;"pericentral";"pericentral";10;3;40552,959302347;0;0;0;0,000166260252716;0,000587421192945;0;0;0;-0,141200271501202;-0,369894380546676;-0,511094652047877;0,001356238698011;0,035462095536351;0,036818334234362;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"11";"denver";0,084392333957337;"central";"central";11;0;96507,5197232447;0;0;0;0;0,001397938975091;0;0;0;-0,173193507729176;0,062201813921878;-0,110991693807298;0;0,084392333957337;0,084392333957337;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
