"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"detroit";0,06995765399052;"suburban";"suburban";1;0;63449,7635770605;0;0;0;0;0,00077000190767;0;0;0;-0,446745683217161;-0,687880182184516;-1,13462586540168;0;0,06995765399052;0,06995765399052;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"2";"detroit";0,065165070335876;"suburban";"suburban";2;0;59103,015473534;0;0;0;0;0,000717251445837;0;0;0;-0,446745683217161;-0,713039686139356;-1,15978536935652;0;0,065165070335876;0,065165070335876;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"3";"detroit";0,047916359324022;"suburban";"suburban";3;0;43458,8854422518;0;0;0;0;0,000527400305521;0;0;0;-0,446745683217161;-0,803589803610563;-1,25033548682772;0;0,047916359324022;0,047916359324022;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"4";"detroit";0,069348989290978;"suburban";"suburban";4;0;62897,7206041951;0;0;0;0;0,000763302526644;0;0;0;-0,446745683217161;-0,691075473705499;-1,13782115692266;0;0,069348989290978;0,069348989290978;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"5";"detroit";0,090313431756093;"suburban";"suburban";5;0;81911,9219397159;0;0;0;0;0,0009940515551;0;0;0;-0,446745683217161;-0,58101897576603;-1,02776465898319;0;0,090313431756093;0,090313431756093;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"6";"detroit";0,118978964014198;"pericentral";"pericentral";6;0;107910,81042208;0;0;0;0;0,001309564058222;0;0;0;-0,446745683217161;-0,430534263513485;-0,877279946730646;0;0,118978964014198;0,118978964014198;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"detroit";0,100443114801527;"pericentral";"pericentral";7;1;88865,3539195018;0;0;0;0,000123001230012;0,00107843572909;0;0;0;-0,414489875585123;-0,540771670141579;-0,955261545726702;0,002463054187192;0,097980060614335;0,100443114801527;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"detroit";0,047257163340522;"suburban";"suburban";8;0;42861,0119156507;0;0;0;0;0,000520144742535;0;0;0;-0,446745683217161;-0,807050367921803;-1,25379605113896;0;0,047257163340522;0,047257163340522;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"9";"detroit";0,014231532880723;"suburban";"suburban";9;0;12907,6283310385;0;0;0;0;0,000156642009017;0;0;0;-0,446745683217161;-0,980424176297421;-1,42716985951458;0;0,014231532880723;0,014231532880723;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"10";"detroit";0,035768993526564;"suburban";"suburban";10;0;32441,5421786072;0;0;0;0;0,000393698068472;0;0;0;-0,446745683217161;-0,867359519455981;-1,31410520267314;0;0,035768993526564;0,035768993526564;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
