"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"greensboro";0,06186253635158;"suburban";"suburban";1;1;33549,1139246481;0;0;0;0,000474383301708;0,001690419043978;0;0;0;-0,199498263061398;-0,864678255938158;-1,06417651899956;0,002702702702703;0,059159833648877;0,06186253635158;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"2";"greensboro";0,104063995147844;"pericentral";"pericentral";2;0;58796,7719797555;0;0;0;0;0,002962557619324;0;0;0;-0,230181903959183;-0,52488211542746;-0,755064019386643;0;0,104063995147844;0,104063995147844;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"3";"greensboro";0,051547039237079;"suburban";"suburban";3;0;29268,7705502965;0;0;0;0;0,001474747954392;0;0;0;-0,230181903959183;-0,922285347870828;-1,15246725183001;0;0,051547039237079;0,051547039237079;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"4";"greensboro";0,117512226239743;"pericentral";"pericentral";4;0;66358,1277365518;0;0;0;0;0,003343547108295;0;0;0;-0,230181903959183;-0,423117448875823;-0,653299352835006;0;0,117512226239743;0,117512226239743;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"5";"greensboro";0,110972304951788;"pericentral";"pericentral";5;0;62681,0142826148;0;0;0;0;0,003158270602234;0;0;0;-0,230181903959183;-0,472605958152231;-0,702787862111414;0;0,110972304951788;0,110972304951788;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"6";"greensboro";0,178154524790404;"pericentral";"pericentral";6;2;97415,4316389982;0;0;0;0,000948766603416;0,004908412817989;0;0;0;-0,168814622163613;-0,005132066719387;-0,173946688883;0,005405405405405;0,172749119384999;0,178154524790404;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"greensboro";0,189258471041519;"pericentral";"pericentral";7;3;102139,085689478;0;0;0;0,001423149905123;0,005146420736232;0;0;0;-0,138130981265828;0,058441331334298;-0,07968964993153;0,008108108108108;0,181150362933411;0,189258471041519;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"greensboro";0,070470912475419;"suburban";"suburban";8;0;39908,8418633041;0;0;0;0;0,002010862834123;0;0;0;-0,230181903959183;-0,779085722819379;-1,00926762677856;0;0,070470912475419;0,070470912475419;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"9";"greensboro";0,021211380086093;"suburban";"suburban";9;0;12212,3480817904;0;0;0;0;0,000615336244514;0;0;0;-0,230181903959183;-1,15183957080383;-1,38202147476301;0;0,021211380086093;0,021211380086093;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"10";"greensboro";0,120676235057169;"pericentral";"pericentral";10;0;68137,1123571099;0;0;0;0;0,003433183737396;0;0;0;-0,230181903959183;-0,399174946693082;-0,629356850652265;0;0,120676235057169;0,120676235057169;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"11";"greensboro";0,160674520864721;"pericentral";"pericentral";11;0;90626,409766277;0;0;0;0;0,004566338452347;0;0;0;-0,230181903959183;-0,096502261339346;-0,326684165298529;0;0,160674520864721;0,160674520864721;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
