"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"greenville";0,003513248287786;"suburban";"suburban";1;0;1709,25442603634;0;0;0;0;6,0696920065e-05;0;0;0;-0,26902614952231;-1,33179290303811;-1,60081905256042;0;0,003513248287786;0,003513248287786;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"greenville";0,128795273935505;"pericentral";"pericentral";2;3;59657,8782969497;0;0;0;0,000735474380976;0,002118496471382;0;0;0;-0,192651478978835;-0,571137882432131;-0,763789361410966;0,006172839506173;0,122622434429333;0,128795273935505;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"3";"greenville";0,083633277163453;"suburban";"suburban";3;2;38686,8701528051;0;0;0;0,000490316253984;0,001373800078836;0;0;0;-0,218109702493327;-0,846411073863674;-1,064520776357;0,004115226337449;0,079518050826005;0,083633277163453;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"4";"greenville";0,090284046306122;"suburban";"suburban";4;0;43924,7081641558;0;0;0;0;0,001559799676232;0;0;0;-0,26902614952231;-0,777657279307138;-1,04668342882945;0;0,090284046306122;0,090284046306122;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"5";"greenville";0,03903749418466;"suburban";"suburban";5;0;18992,3979891987;0;0;0;0;0,00067443444641;0;0;0;-0,26902614952231;-1,10492798295893;-1,37395413248124;0;0,03903749418466;0,03903749418466;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"6";"greenville";0,274737942602146;"pericentral";"pericentral";6;6;127658,252750827;0;0;0;0,001470948761951;0,004533241303844;0;0;0;-0,11627680843536;0,321460125531801;0,205183317096442;0,012345679012346;0,262392263589801;0,274737942602146;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Not significant";"High.Low";"High.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"7";"greenville";0,128636441575998;"pericentral";"pericentral";7;0;62583,7939999163;0;0;0;0;0,002222397955465;0;0;0;-0,26902614952231;-0,532731233220077;-0,801757382742387;0;0,128636441575998;0,128636441575998;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"8";"greenville";0,209779328579115;"pericentral";"pericentral";8;0;102061,174301682;0;0;0;0;0,003624269648796;0;0;0;-0,26902614952231;-0,014536571793753;-0,283562721316063;0;0,209779328579115;0,209779328579115;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"9";"greenville";0,191295689773851;"pericentral";"pericentral";9;1;92067,509471635;0;0;0;0,000245158126992;0,003269387036759;0;0;0;-0,243567926007818;-0,145717104124633;-0,389285030132451;0,002057613168724;0,189238076605127;0,191295689773851;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"10";"greenville";0,055709415038154;"suburban";"suburban";10;0;27103,5681016084;0;0;0;0;0,000962468244333;0;0;0;-0,26902614952231;-0,998457770952901;-1,26748392047521;0;0,055709415038154;0,055709415038154;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
