"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"houston";0,073353934288392;"pericentral";"pericentral";1;1;51562,4309112334;0;0;0;8,025682183e-05;0,000469912098166;0;0;0;-0,259791847361288;-0,523248105001512;-0,7830399523628;0,002173913043478;0,071180021244913;0,073353934288392;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"2";"houston";0,044545181047504;"suburban";"suburban";2;1;30693,5224360453;0;0;0;8,025682183e-05;0,000279724157165;0;0;0;-0,259791847361288;-0,694715004332771;-0,954506851694059;0,002173913043478;0,042371268004026;0,044545181047504;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"3";"houston";0,055804489218978;"pericentral";"pericentral";3;0;40424,4768344438;0;0;0;0;0,00036840681075;0;0;0;-0,288531523112345;-0,614761777252828;-0,903293300365173;0;0,055804489218978;0,055804489218978;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"4";"houston";0,082425210637724;"pericentral";"pericentral";4;0;59708,3866304014;0;0;0;0;0,00054414993133;0;0;0;-0,288531523112345;-0,456317830669429;-0,744849353781774;0;0,082425210637724;0,082425210637724;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"5";"houston";0,10059390157894;"pericentral";"pericentral";5;0;72869,6902521109;0;0;0;0;0,000664094931793;0;0;0;-0,288531523112345;-0,348179548024943;-0,636711071137288;0;0,10059390157894;0,10059390157894;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"6";"houston";0,007282708427487;"suburban";"suburban";6;0;5275,55546586422;0;0;0;0;4,8078558248e-05;0;0;0;-0,288531523112345;-0,903558700631651;-1,192090223744;0;0,007282708427487;0,007282708427487;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"houston";0,035007109410349;"suburban";"suburban";7;0;25358,9649005912;0;0;0;0;0,000231107885977;0;0;0;-0,288531523112345;-0,738545760550617;-1,02707728366296;0;0,035007109410349;0,035007109410349;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"8";"houston";0,104566753659256;"pericentral";"pericentral";8;0;75747,6032862611;0;0;0;0;0,00069032267413;0;0;0;-0,288531523112345;-0,324533518569332;-0,613065041681677;0;0,104566753659256;0,104566753659256;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"9";"houston";0,132982279800899;"pericentral";"pericentral";9;3;91607,3467986494;0;0;0;0,00024077046549;0,000834859795801;0;0;0;-0,202312495859174;-0,19422382616297;-0,396536322022144;0,006521739130435;0,126460540670464;0,132982279800899;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"10";"houston";0,069784480435179;"pericentral";"pericentral";10;0;50551,5085298229;0;0;0;0;0,000460699098527;0;0;0;-0,288531523112345;-0,531554228266709;-0,820085751379054;0;0,069784480435179;0,069784480435179;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
