"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"indianapolis";0,04405485320594;"suburban";"suburban";1;1;41704,7234738716;0;0;0;0,000214684413912;0,000838710703892;0;0;0;-0,277563173728376;-0,621492453624866;-0,899055627353242;0,00398406374502;0,04007078946092;0,04405485320594;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"2";"indianapolis";0,031821273754929;"suburban";"suburban";2;0;33118,8239710117;0;0;0;0;0,000666042353265;0;0;0;-0,317741278748286;-0,694509916410035;-1,01225119515832;0;0,031821273754929;0,031821273754929;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"3";"indianapolis";0,026632268753222;"suburban";"suburban";3;0;27718,2311298906;0;0;0;0;0,000557432712776;0;0;0;-0,317741278748286;-0,7404384282291;-1,05817970697739;0;0,026632268753222;0,026632268753222;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"4";"indianapolis";0,009288514939164;"suburban";"suburban";4;0;9667,26516328242;0;0;0;0;0,000194415358608;0;0;0;-0,317741278748286;-0,893950094102211;-1,2116913728505;0;0,009288514939164;0,009288514939164;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant"
"5";"indianapolis";0,021278290358104;"suburban";"suburban";5;0;22145,9379093823;0;0;0;0;0,000445370059436;0;0;0;-0,317741278748286;-0,787827139536632;-1,10556841828492;0;0,021278290358104;0,021278290358104;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"6";"indianapolis";0,054191446472079;"suburban";"suburban";6;0;56401,1670389299;0;0;0;0;0,001134266302886;0;0;0;-0,317741278748286;-0,496508807970904;-0,81425008671919;0;0,054191446472079;0,054191446472079;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"7";"indianapolis";0,049960030053626;"suburban";"suburban";7;0;51997,209592409;0;0;0;0;0,001045699686392;0;0;0;-0,317741278748286;-0,533961587246005;-0,85170286599429;0;0,049960030053626;0,049960030053626;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"indianapolis";0,03991512913492;"suburban";"suburban";8;0;41542,7159132763;0;0;0;0;0,000835452620302;0;0;0;-0,317741278748286;-0,622870222025573;-0,940611500773859;0;0,03991512913492;0,03991512913492;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"9";"indianapolis";0,026295886242849;"suburban";"suburban";9;0;27368,1322232979;0;0;0;0;0,000550391982712;0;0;0;-0,317741278748286;-0,743415790574739;-1,06115706932302;0;0,026295886242849;0,026295886242849;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"10";"indianapolis";0,029226287126306;"suburban";"suburban";10;0;30418,023681797;0;0;0;0;0,000611727399875;0;0;0;-0,317741278748286;-0,717478457393098;-1,03521973614138;0;0,029226287126306;0,029226287126306;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"11";"indianapolis";0,016016282127131;"suburban";"suburban";11;0;16669,3650456515;0;0;0;0;0,000335232408378;0;0;0;-0,317741278748286;-0,834401811780876;-1,15214309052916;0;0,016016282127131;0,016016282127131;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"12";"indianapolis";0,004052830210694;"suburban";"suburban";12;0;4218,08917411999;0;0;0;0;8,482867756e-05;0;0;0;-0,317741278748286;-0,94029177383722;-1,25803305258551;0;0,004052830210694;0,004052830210694;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"13";"indianapolis";0,011555785708785;"suburban";"suburban";13;0;12026,9865902745;0;0;0;0;0,000241870981237;0;0;0;-0,317741278748286;-0,873882205883701;-1,19162348463199;0;0,011555785708785;0,011555785708785;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"14";"indianapolis";0,05863406043516;"pericentral";"pericentral";14;0;61024,9338606979;0;0;0;0;0,00122725343726;0;0;0;-0,317741278748286;-0,457186693645751;-0,774927972394036;0;0,05863406043516;0,05863406043516;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant"
"15";"indianapolis";0,046596666021809;"suburban";"suburban";15;0;48496,700399155;0;0;0;0;0,00097530203632;0;0;0;-0,317741278748286;-0,563731129699003;-0,881472408447288;0;0,046596666021809;0,046596666021809;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"16";"indianapolis";0,044941333345087;"suburban";"suburban";16;0;46773,8695673025;0;0;0;0;0,000940654722076;0;0;0;-0,317741278748286;-0,57838267973264;-0,896123958480925;0;0,044941333345087;0,044941333345087;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"17";"indianapolis";0,055507518558066;"suburban";"suburban";17;0;57770,9035266845;0;0;0;0;0,001161812646755;0;0;0;-0,317741278748286;-0,484860094520812;-0,802601373269097;0;0,055507518558066;0,055507518558066;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
