"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"milwaukee";0,013861113163948;"pericentral";"pericentral";1;0;13824,4518395755;0;0;0;0;0,000497401499995;0;0;0;-0,107932887099303;-0,507177754000061;-0,615110641099364;0;0,013861113163948;0,013861113163948;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"2";"milwaukee";0,090330648800271;"pericentral";"pericentral";2;0;90091,7328360695;0;0;0;0;0,00324148570734;0;0;0;-0,107932887099303;0,096459426845781;-0,011473460253522;0;0,090330648800271;0,090330648800271;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"3";"milwaukee";0,09006780064313;"pericentral";"pericentral";3;0;89829,5798872738;0;0;0;0;0,003232053487424;0;0;0;-0,107932887099303;0,094384549324335;-0,013548337774968;0;0,09006780064313;0,09006780064313;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"4";"milwaukee";0,040119663966823;"pericentral";"pericentral";4;0;40013,5512760877;0;0;0;0;0,001439680983796;0;0;0;-0,107932887099303;-0,299897332485173;-0,407830219584476;0;0,040119663966823;0,040119663966823;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"5";"milwaukee";0,011912562484925;"pericentral";"pericentral";5;0;11881,0548915449;0;0;0;0;0,000427478397925;0;0;0;-0,107932887099303;-0,522559273304879;-0,630492160404182;0;0,011912562484925;0,011912562484925;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"6";"milwaukee";0,016436853915967;"pericentral";"pericentral";6;0;16393,3800025838;0;0;0;0;0,00058983111214;0;0;0;-0,107932887099303;-0,486845305617836;-0,594778192717139;0;0,016436853915967;0,016436853915967;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"7";"milwaukee";0;"pericentral";"pericentral";7;0;0;0;0;0;0;0;0;0;0;-0,107932887099303;-0,616594964449245;-0,724527851548548;0;0;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"8";"milwaukee";0,046336589874301;"pericentral";"pericentral";8;1;45861,2377224302;0;0;0;0,000151975683891;0,001650079778892;0;0;0;-0,100485845952938;-0,253614301087962;-0,3541001470409;0,000353731871242;0,04598285800306;0,046336589874301;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"9";"milwaukee";0,074666637202316;"pericentral";"pericentral";9;0;74469,1510571611;0;0;0;0;0,002679387788319;0;0;0;-0,107932887099303;-0,027189549482447;-0,13512243658175;0;0,074666637202316;0,074666637202316;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"10";"milwaukee";0,042626083978091;"pericentral";"pericentral";10;0;42513,3420451037;0;0;0;0;0,001529623043895;0;0;0;-0,107932887099303;-0,280112089943452;-0,388044977042754;0;0,042626083978091;0,042626083978091;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"11";"milwaukee";0,002381516898525;"pericentral";"pericentral";11;0;2375,21801311226;0;0;0;0;8,5459952861e-05;0;0;0;-0,107932887099303;-0,597795685301018;-0,705728572400321;0;0,002381516898525;0,002381516898525;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
