"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"montreal";0,026698577874497;"suburban";"suburban";1;0;16409,0213202412;0;0;0;0;0,000552598871969;0;0;0;-0,241278857467035;-0,825158325889858;-1,06643718335689;0;0,026698577874497;0,026698577874497;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"montreal";0,057790491691554;"pericentral";"pericentral";2;0;35518,1993112729;0;0;0;0;0,001196129646657;0;0;0;-0,241278857467035;-0,672414579381411;-0,913693436848445;0;0,057790491691554;0,057790491691554;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"3";"montreal";0,019128817158066;"suburban";"suburban";3;1;11587,9634308776;0;0;0;5,4770511557e-05;0,000390242379198;0;0;0;-0,237274722632304;-0,863694072665626;-1,10096879529793;0,000274423710209;0,018854393447858;0,019128817158066;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"4";"montreal";0,022409123575601;"suburban";"suburban";4;0;13772,7106008596;0;0;0;0;0,000463817079243;0;0;0;-0,241278857467035;-0,84623092129023;-1,08750977875726;0;0,022409123575601;0,022409123575601;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"5";"montreal";0,106113749054756;"pericentral";"pericentral";5;4;64543,1633349232;0;0;0;0,000219082046226;0,002173589670956;0;0;0;-0,225262318128112;-0,440411834452984;-0,665674152581096;0,001097694840834;0,105016054213922;0,106113749054756;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"6";"montreal";0,116475326360051;"pericentral";"pericentral";6;8;70236,7716455271;0;0;0;0,000438164092453;0,00236533063274;0;0;0;-0,20924577878919;-0,394901605550337;-0,604147384339527;0,002195389681668;0,114279936678382;0,116475326360051;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"7";"montreal";0;"suburban";"suburban";7;0;0;0;0;0;0;0;0;0;0;-0,241278857467035;-0,956319142653766;-1,1975980001208;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"8";"montreal";0,082512272933045;"pericentral";"pericentral";8;0;50712,2758412237;0;0;0;0;0,001707813395931;0;0;0;-0,241278857467035;-0,550965076163118;-0,792243933630152;0;0,082512272933045;0,082512272933045;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"9";"montreal";0,062578330707327;"pericentral";"pericentral";9;0;38460,8186843721;0;0;0;0;0,001295226851449;0;0;0;-0,241278857467035;-0,648893593402503;-0,890172450869538;0;0,062578330707327;0,062578330707327;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"10";"montreal";0,01688077086548;"suburban";"suburban";10;0;10374,9694210629;0;0;0;0;0,000349392952017;0;0;0;-0,241278857467035;-0,873389793205692;-1,11466865067273;0;0,01688077086548;0,01688077086548;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"11";"montreal";0,049746706216972;"pericentral";"pericentral";11;0;30574,4660544562;0;0;0;0;0,001029641873394;0;0;0;-0,241278857467035;-0,711930896605468;-0,953209754072503;0;0,049746706216972;0,049746706216972;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"12";"montreal";0,027526155784472;"suburban";"suburban";12;0;16917,653039607;0;0;0;0;0,000569727822494;0;0;0;-0,241278857467035;-0,821092723777332;-1,06237158124437;0;0,027526155784472;0,027526155784472;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"13";"montreal";0,014606010639478;"suburban";"suburban";13;0;8976,89536549437;0;0;0;0;0,000302310671425;0;0;0;-0,241278857467035;-0,884564898134015;-1,12584375560105;0;0,014606010639478;0,014606010639478;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"14";"montreal";0,045602976955067;"suburban";"suburban";14;0;28027,718354128;0;0;0;0;0,00094387625222;0;0;0;-0,241278857467035;-0,732287595639956;-0,973566453106991;0;0,045602976955067;0,045602976955067;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"15";"montreal";0,029199886838353;"suburban";"suburban";15;0;17946,332869544;0;0;0;0;0,000604370187968;0;0;0;-0,241278857467035;-0,812870265895785;-1,05414912336282;0;0,029199886838353;0,029199886838353;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"16";"montreal";0,11174836086072;"pericentral";"pericentral";16;12;66656,9189599564;0;0;0;0,000657246138679;0,002244773622224;0;0;0;-0,193229239450267;-0,423516133679125;-0,616745373129392;0,003293084522503;0,108455276338217;0,11174836086072;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"17";"montreal";0,096229313992422;"pericentral";"pericentral";17;1;58974,146406736;0;0;0;5,4770511557e-05;0,001986044514397;0;0;0;-0,237274722632304;-0,484926177789965;-0,72220090042227;0,000274423710209;0,095954890282214;0,096229313992422;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"18";"montreal";0,115629716072635;"pericentral";"pericentral";18;2;70729,0266973322;0;0;0;0,000109541023113;0,002381908073956;0;0;0;-0,233270587797574;-0,390966905644056;-0,62423749344163;0,000548847420417;0,115080868652218;0,115629716072635;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"19";"montreal";0,046948071718641;"suburban";"suburban";19;0;28854,4173924434;0;0;0;0;0,000971716605835;0;0;0;-0,241278857467035;-0,725679613422904;-0,966958470889939;0;0,046948071718641;0,046948071718641;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"20";"montreal";0,048874979341133;"pericentral";"pericentral";20;7;28858,0691479379;0;0;0;0,000383393580896;0,000971839584283;0;0;0;-0,213249913623921;-0,725650424160246;-0,938900337784166;0,00192096597146;0,046954013369673;0,048874979341133;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"21";"montreal";0,065372467085218;"pericentral";"pericentral";21;0;40178,1027888665;0;0;0;0;0,001353059018309;0;0;0;-0,241278857467035;-0,63516697428456;-0,876445831751595;0;0,065372467085218;0,065372467085218;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"22";"montreal";0;"suburban";"suburban";22;0;0;0;0;0;0;0;0;0;0;-0,241278857467035;-0,956319142653766;-1,1975980001208;0;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"23";"montreal";0,046199937524741;"suburban";"suburban";23;6;27382,6424839678;0;0;0;0,000328623069339;0,00092215233638;0;0;0;-0,217254048458651;-0,737443825030708;-0,954697873489359;0,001646542261251;0,04455339526349;0,046199937524741;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"24";"montreal";0,18195406827952;"pericentral";"pericentral";24;9;110311,529660618;0;0;0;0,000492934604009;0,003714909357843;0;0;0;-0,205241643954459;-0,074575494059972;-0,279817138014431;0,002469813391877;0,179484254887643;0,18195406827952;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"25";"montreal";0,19247141767763;"pericentral";"pericentral";25;9;116775,52228664;0;0;0;0,000492934604009;0,003932594188879;0;0;0;-0,205241643954459;-0,022907418564268;-0,228149062518727;0,002469813391877;0,190001604285753;0,19247141767763;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"26";"montreal";0,205946000030197;"pericentral";"pericentral";26;15;124045,06911222;0;0;0;0,000821557673349;0,004177407288767;0;0;0;-0,181216834946076;0,035199623930124;-0,146017211015952;0,004116355653128;0,201829644377069;0,205946000030197;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"27";"montreal";0,154067219158094;"pericentral";"pericentral";27;15;92160,2239567932;0;0;0;0,000821557673349;0,003103636396407;0;0;0;-0,181216834946076;-0,219662762519326;-0,400879597465402;0,004116355653128;0,149950863504966;0,154067219158094;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"28";"montreal";0,067769685012651;"pericentral";"pericentral";28;0;41651,4396933797;0;0;0;0;0,001402675890368;0;0;0;-0,241278857467035;-0,623390277308367;-0,864669134775402;0;0,067769685012651;0,067769685012651;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
