"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"nashville";0,021209205137354;"suburban";"suburban";1;0;19233,1498417003;0;0;0;0;0,000332746038562;0;0;0;-0,208646434314503;-0,944787562675416;-1,15343399698992;0;0,021209205137354;0,021209205137354;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"2";"nashville";0,020313432441968;"suburban";"suburban";2;0;18420,8360202776;0;0;0;0;0,000318692479557;0;0;0;-0,208646434314503;-0,954998240581612;-1,16364467489611;0;0,020313432441968;0,020313432441968;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"3";"nashville";0,02048539108382;"suburban";"suburban";3;0;18576,7733269279;0;0;0;0;0,000321390296684;0;0;0;-0,208646434314503;-0,953038129144659;-1,16168456345916;0;0,02048539108382;0,02048539108382;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"4";"nashville";0,018837822842166;"suburban";"suburban";4;0;17082,708525303;0;0;0;0;0,000295542000997;0;0;0;-0,208646434314503;-0,971818327213499;-1,180464761528;0;0,018837822842166;0,018837822842166;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"5";"nashville";0,015974182141654;"suburban";"suburban";5;0;14485,8723718949;0;0;0;0;0,000250615041558;0;0;0;-0,208646434314503;-1,00446021614649;-1,21310665046099;0;0,015974182141654;0,015974182141654;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"6";"nashville";0,035635016511692;"suburban";"suburban";6;0;32314,9126873097;0;0;0;0;0,000559069069376;0;0;0;-0,208646434314503;-0,780351524116076;-0,988997958430578;0;0,035635016511692;0,035635016511692;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"7";"nashville";0,070161763007085;"pericentral";"pericentral";7;2;58775,4526550093;0;0;0;0,000638162093172;0,001016853671739;0;0;0;-0,096001326828817;-0,447746016602998;-0,543747343431815;0,005347593582888;0,064814169424198;0,070161763007085;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"8";"nashville";0,033319479739296;"suburban";"suburban";8;0;30215,1137830576;0;0;0;0;0,000522741178577;0;0;0;-0,208646434314503;-0,806745720193582;-1,01539215450809;0;0,033319479739296;0,033319479739296;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"9";"nashville";0,010324144433205;"suburban";"suburban";9;0;9362,24698593108;0;0;0;0;0,000161972980102;0;0;0;-0,208646434314503;-1,06886351342937;-1,27750994774388;0;0,010324144433205;0,010324144433205;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"10";"nashville";0,015405099732789;"suburban";"suburban";10;0;13969,8112007621;0;0;0;0;0,000241686846656;0;0;0;-0,208646434314503;-1,01094703719935;-1,21959347151385;0;0,015405099732789;0,015405099732789;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"11";"nashville";0,011872403079759;"suburban";"suburban";11;0;10766,2548377118;0;0;0;0;0,00018626323181;0;0;0;-0,208646434314503;-1,0512153193765;-1,259861753691;0;0,011872403079759;0,011872403079759;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"12";"nashville";0,007989133959545;"suburban";"suburban";12;0;7244,78873933499;0;0;0;0;0,000125339571161;0;0;0;-0,208646434314503;-1,09547968511773;-1,30412611943223;0;0,007989133959545;0,007989133959545;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"13";"nashville";0,048925652231519;"suburban";"suburban";13;0;44367,2638544297;0;0;0;0;0,00076758260664;0;0;0;-0,208646434314503;-0,628855054975265;-0,837501489289768;0;0,048925652231519;0,048925652231519;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"14";"nashville";0,063649874734841;"pericentral";"pericentral";14;0;57719,6349534375;0;0;0;0;0,000998587336763;0;0;0;-0,208646434314503;-0,461017506258963;-0,669663940573466;0;0,063649874734841;0,063649874734841;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"15";"nashville";0,041274556029622;"suburban";"suburban";15;0;37429,0179960233;0;0;0;0;0,000647546427285;0;0;0;-0,208646434314503;-0,716067892952222;-0,924714327266725;0;0,041274556029622;0,041274556029622;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"16";"nashville";0,04125947512;"suburban";"suburban";16;0;37415,3421702378;0;0;0;0;0,000647309826578;0;0;0;-0,208646434314503;-0,71623979628381;-0,924886230598313;0;0,04125947512;0,04125947512;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
