"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"paris";0,021890531164461;"suburban";"suburban";1;0;17285,8925896937;0;0;0;0;0,000185885887209;0;0;0;-0,216951270235513;-1,05883937456798;-1,27579064480349;0;0,021890531164461;0,021890531164461;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"paris";0,184098535181653;"pericentral";"pericentral";2;11;144810,504050473;0;0;0;7,6763109045e-05;0,0015572368556;0;0;0;-0,206473363751173;-0,184754230182399;-0,391227593933572;0,000713220514816;0,183385314666837;0,184098535181653;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"3";"paris";0,08209517631175;"suburban";"suburban";3;5;64570,5878929771;0;0;0;3,4892322293e-05;0,000694367441879;0;0;0;-0,212188585469904;-0,734738408895872;-0,946926994365776;0,000324191143098;0,081770985168652;0,08209517631175;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"4";"paris";0,043996834076975;"suburban";"suburban";4;1;34690,970071957;0;0;0;6,978464459e-06;0,000373053443235;0;0;0;-0,215998733282391;-0,939540680066129;-1,15553941334852;6,483822862e-05;0,043931995848356;0,043996834076975;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"5";"paris";0,172417314369644;"pericentral";"pericentral";5;6;135842,407592701;0;0;0;4,1870786752e-05;0,001460797371322;0;0;0;-0,211236048516782;-0,246223775530254;-0,457459824047036;0,000389029371718;0,172028284997927;0,172417314369644;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"6";"paris";0,214079854081988;"pericentral";"pericentral";6;2;168946,096473508;0;0;0;1,3956928917e-05;0,00181678179883;0;0;0;-0,21504619632927;-0,019322926010904;-0,234369122340173;0,000129676457239;0,213950177624749;0,214079854081988;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"paris";0,165100671962205;"pericentral";"pericentral";7;36;128528,821036114;0;0;0;0,000251224720512;0,001382149854644;0;0;0;-0,182659939923128;-0,296352901885255;-0,479012841808383;0,002334176230305;0,162766495731899;0,165100671962205;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"paris";0,126024464780464;"pericentral";"pericentral";8;2;99413,0189079452;0;0;0;1,3956928917e-05;0,00106904963825;0;0;0;-0,21504619632927;-0,495919791880681;-0,710965988209951;0,000129676457239;0,125894788323225;0,126024464780464;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"9";"paris";0,056873949381809;"suburban";"suburban";9;9;44449,8076796205;0;0;0;6,2806180128e-05;0,000477996255844;0;0;0;-0,208378437657417;-0,872651199818989;-1,08102963747641;0,000583544057576;0,056290405324233;0,056873949381809;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"10";"paris";0,009416680741369;"suburban";"suburban";10;0;7435,89685530368;0;0;0;0;7,9962794919e-05;0;0;0;-0,216951270235513;-1,12635367510234;-1,34330494533786;0;0,009416680741369;0,009416680741369;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
