"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"phoenix";0;"suburban";"suburban";1;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low"
"2";"phoenix";0;"suburban";"suburban";2;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"3";"phoenix";0,009575760404197;"suburban";"suburban";3;0;6367,16048426327;0;0;0;0;6,9020498244e-05;0;0;0;-0,215426764620574;-0,592905656878813;-0,808332421499387;0;0,009575760404197;0,009575760404197;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"4";"phoenix";0;"suburban";"suburban";4;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"5";"phoenix";0;"suburban";"suburban";5;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"phoenix";0,022845938082797;"suburban";"suburban";6;0;15190,8306021267;0;0;0;0;0,000164669745562;0;0;0;-0,215426764620574;-0,510530876829337;-0,72595764144991;0;0,022845938082797;0,022845938082797;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"7";"phoenix";0,035488174284213;"pericentral";"pericentral";7;1;22789,0388076297;0;0;0;5,3925798102e-05;0,000247034893637;0;0;0;-0,194004905584749;-0,439596591963983;-0,633601497548732;0,001215066828676;0,034273107455538;0,035488174284213;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"8";"phoenix";0,055100970861743;"pericentral";"pericentral";8;0;36638,0015274465;0;0;0;0;0,000397158690491;0;0;0;-0,215426764620574;-0,310307391130335;-0,525734155750909;0;0,055100970861743;0,055100970861743;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"9";"phoenix";0,012777674229555;"suburban";"suburban";9;0;8496,19236500067;0;0;0;0;9,2099363862e-05;0;0;0;-0,215426764620574;-0,573029740105926;-0,7884565047265;0;0,012777674229555;0,012777674229555;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"10";"phoenix";0,022703839272689;"suburban";"suburban";10;0;15096,345580532;0;0;0;0;0,000163645520825;0;0;0;-0,215426764620574;-0,511412956821888;-0,726839721442462;0;0,022703839272689;0,022703839272689;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"11";"phoenix";0,01430191061167;"suburban";"suburban";11;0;9509,69492262795;0;0;0;0;0,000103085807767;0;0;0;-0,215426764620574;-0,563568025292369;-0,778994789912943;0;0,01430191061167;0,01430191061167;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"12";"phoenix";0,024101667205202;"pericentral";"pericentral";12;0;16025,796026242;0;0;0;0;0,00017372083352;0;0;0;-0,215426764620574;-0,502735923908197;-0,718162688528771;0;0,024101667205202;0,024101667205202;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"13";"phoenix";0;"suburban";"suburban";13;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant"
"14";"phoenix";0;"suburban";"suburban";14;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant"
"15";"phoenix";0;"suburban";"suburban";15;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"16";"phoenix";0,019235492356375;"suburban";"suburban";16;0;12790,1557325073;0;0;0;0;0,000138646249526;0;0;0;-0,215426764620574;-0,532942760060879;-0,748369524681453;0;0,019235492356375;0,019235492356375;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"17";"phoenix";0;"suburban";"suburban";17;0;0;0;0;0;0;0;0;0;0;-0,215426764620574;-0,652347299350133;-0,867774063970706;0;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant"
