"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"portland";0,018100970958319;"suburban";"suburban";1;1;11452,1113304096;0;0;0;7,8777375138e-05;0,00018451693099;0;0;0;-0,108077092328506;-0,95636863862426;-1,06444573095277;0,000304971027752;0,017795999930566;0,018100970958319;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"2";"portland";0,064506405244077;"suburban";"suburban";2;0;41511,2686705987;0;0;0;0;0,000668831421177;0;0;0;-0,11681970453151;-0,611278429832882;-0,728098134364392;0;0,064506405244077;0,064506405244077;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"3";"portland";0,097041461732815;"pericentral";"pericentral";3;0;62448,2820727078;0;0;0;0;0,001006169519418;0;0;0;-0,11681970453151;-0,370913796698549;-0,48773350123006;0;0,097041461732815;0,097041461732815;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"portland";0,092422589612711;"pericentral";"pericentral";4;0;59475,9378410411;0;0;0;0;0,00095827897595;0;0;0;-0,11681970453151;-0,405037404353189;-0,5218571088847;0;0,092422589612711;0,092422589612711;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"5";"portland";0,025072850592088;"suburban";"suburban";5;0;16134,922312409;0;0;0;0;0,000259966591395;0;0;0;-0,11681970453151;-0,902608242042944;-1,01942794657445;0;0,025072850592088;0,025072850592088;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"6";"portland";0,08819235250764;"pericentral";"pericentral";6;1;56557,433196946;0;0;0;7,8777375138e-05;0,00091125589833;0;0;0;-0,108077092328506;-0,438542913692362;-0,546620006020868;0,000304971027752;0,087887381479887;0,08819235250764;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"portland";0,109578350926446;"pericentral";"pericentral";7;0;70516,0417570557;0;0;0;0;0,001136157625015;0;0;0;-0,11681970453151;-0,278292941015814;-0,395112645547324;0;0,109578350926446;0,109578350926446;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"8";"portland";0,096439115966375;"pericentral";"pericentral";8;0;62060,6595281143;0;0;0;0;0,000999924127608;0;0;0;-0,11681970453151;-0,375363846423236;-0,492183550954746;0;0,096439115966375;0,096439115966375;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"9";"portland";0,00493979855933;"suburban";"suburban";9;0;3178,86734501931;0;0;0;0;5,1218053126e-05;0;0;0;-0,11681970453151;-1,05134852984307;-1,16816823437458;0;0,00493979855933;0,00493979855933;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"10";"portland";0,036641041201504;"suburban";"suburban";10;0;23579,3034804988;0;0;0;0;0,000379910794401;0;0;0;-0,11681970453151;-0,817144001560594;-0,933963706092104;0;0,036641041201504;0,036641041201504;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
