"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"raleigh";0;"suburban";"suburban";1;0;0;0;0;0;0;0;0;0;0;-0,410948292952568;-1,05193952793717;-1,46288782088974;0;0;0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"2";"raleigh";0,000795799681919;"suburban";"suburban";2;0;644,067732827968;0;0;0;0;1,9597165444e-05;0;0;0;-0,410948292952568;-1,04698760598894;-1,45793589894151;0;0,000795799681919;0,000795799681919;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"3";"raleigh";0,071363236142321;"suburban";"suburban";3;0;57756,6927378058;0;0;0;0;0,001757373340407;0;0;0;-0,410948292952568;-0,607876551564317;-1,01882484451689;0;0,071363236142321;0,071363236142321;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.High";"Low.High";"Low.High";"Not significant";"Not significant";"Not significant"
"4";"raleigh";0,672506768632703;"central";"central";4;32;472341,787996121;0;0;0;0,006430868167203;0,0143720290487;0;0;0;0,38219678391608;2,5796655778991;2,96186236181518;0,088888888888889;0,583617879743814;0,672506768632703;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"High.High";"High.High";"Not significant";"Not significant";"Not significant";"Not significant"
"5";"raleigh";0,607069172487201;"central";"central";5;58;360929,017757529;0;0;0;0,011655948553055;0,010982052529667;0;0;0;1,02662715887186;1,72306725114433;2,74969441001619;0,161111111111111;0,44595806137609;0,607069172487201;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"High.High";"High.High";"High.High";"Not significant";"Not significant";"Low.Low";"Not significant"
"6";"raleigh";0,197336020118515;"pericentral";"pericentral";6;1;157462,59881028;0;0;0;0,000200964630225;0,004791142985223;0;0;0;-0,386162509300423;0,158713419462773;-0,22744908983765;0,002777777777778;0,194558242340738;0,197336020118515;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"High.High";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"raleigh";0,160843275547273;"pericentral";"pericentral";7;6;116687,030314727;0;0;0;0,00120578778135;0,003550457384693;0;0;0;-0,262233591039697;-0,15478999375428;-0,417023584793977;0,016666666666667;0,144176608880606;0,160843275547273;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"8";"raleigh";0,073317325538561;"suburban";"suburban";8;0;59338,2037081851;0;0;0;0;0,001805494260861;0;0;0;-0,410948292952568;-0,595717086827285;-1,00666537977985;0;0,073317325538561;0,073317325538561;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"9";"raleigh";0,021680339010169;"suburban";"suburban";9;0;17546,6353034291;0;0;0;0;0,000533894647259;0;0;0;-0,410948292952568;-0,917032026679407;-1,32798031963198;0;0,021680339010169;0,021680339010169;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"10";"raleigh";0;"suburban";"suburban";10;0;0;0;0;0;0;0;0;0;0;-0,410948292952568;-1,05193952793717;-1,46288782088974;0;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"11";"raleigh";0,011474428294069;"suburban";"suburban";11;0;9286,64484890847;0;0;0;0;0,00028256642314;0;0;0;-0,410948292952568;-0,980539055426655;-1,39148734837922;0;0,011474428294069;0,011474428294069;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"12";"raleigh";0,07453282566419;"suburban";"suburban";12;0;60321,9492762634;0;0;0;0;0,001835426865259;0;0;0;-0,410948292952568;-0,588153548053734;-0,999101841006302;0;0,07453282566419;0,07453282566419;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"13";"raleigh";0,004148414272867;"suburban";"suburban";13;0;3357,45268094724;0;0;0;0;0,000102157820219;0;0;0;-0,410948292952568;-1,02612571554835;-1,43707400850092;0;0,004148414272867;0,004148414272867;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"14";"raleigh";0,304052552239103;"central";"central";14;50;133672,56687385;0;0;0;0,010048231511254;0,004067279378934;0;0;0;0,828340889654695;-0,024196506450997;0,804144383203698;0,138888888888889;0,165163663350214;0,304052552239103;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.High";"Low.High";"Low.High";"Low.High"
