"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"richmond";0,157414211996773;"pericentral";"pericentral";1;0;99317,766628171;0;0;0;0;0,002115280969005;0;0;0;-0,227017367123928;-0,106932408776674;-0,333949775900602;0;0,157414211996773;0,157414211996773;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"2";"richmond";0,10425957942213;"suburban";"suburban";2;0;65780,773199885;0;0;0;0;0,001401006309345;0;0;0;-0,227017367123928;-0,549276147524058;-0,776293514647986;0;0,10425957942213;0,10425957942213;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"3";"richmond";0,084766849986265;"suburban";"suburban";3;0;53482,1736738334;0;0;0;0;0,001139069352786;0;0;0;-0,227017367123928;-0,711491299795937;-0,938508666919866;0;0,084766849986265;0,084766849986265;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"4";"richmond";0,063281777559389;"suburban";"suburban";4;0;39926,5398958262;0;0;0;0;0,000850359939285;0;0;0;-0,227017367123928;-0,890286388845173;-1,1173037559691;0;0,063281777559389;0,063281777559389;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"5";"richmond";0,058297962131094;"suburban";"suburban";5;0;36782,0879982085;0;0;0;0;0,000783389048952;0;0;0;-0,227017367123928;-0,931760846347686;-1,15877821347161;0;0,058297962131094;0,058297962131094;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"6";"richmond";0,190641018176491;"pericentral";"pericentral";6;0;120281,643651069;0;0;0;0;0,00256177198072;0;0;0;-0,227017367123928;0,16957537540435;-0,057441991719579;0;0,190641018176491;0,190641018176491;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"7";"richmond";0,087375040722201;"suburban";"suburban";7;0;55127,7663782504;0;0;0;0;0,001174117371369;0;0;0;-0,227017367123928;-0,689786383674468;-0,916803750798396;0;0,087375040722201;0,087375040722201;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"8";"richmond";0,111863769284185;"pericentral";"pericentral";8;1;69348,616679367;0;0;0;0,000213128729753;0,00147699464123;0;0;0;-0,196051656348286;-0,502217271260915;-0,698268927609201;0,001949317738791;0,109914451545394;0,111863769284185;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"9";"richmond";0,154310842147388;"pericentral";"pericentral";9;0;97359,7492512621;0;0;0;0;0,002073578894593;0;0;0;-0,227017367123928;-0,132758120580158;-0,359775487704086;0;0,154310842147388;0,154310842147388;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"10";"richmond";0,039036377053495;"suburban";"suburban";10;1;23399,4367803229;0;0;0;0,000213128729753;0,000498363837481;0;0;0;-0,196051656348286;-1,10827434290576;-1,30432599925404;0,001949317738791;0,037087059314703;0,039036377053495;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
