"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"saint_louis";0,008143614879838;"suburban";"suburban";1;0;6779,36789215258;0;0;0;0;9,1594931866e-05;0;0;0;-0,185094035593449;-1,02773276543367;-1,21282680102713;0;0,008143614879838;0,008143614879838;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"2";"saint_louis";0,004911020746104;"suburban";"suburban";2;0;4088,309289559;0;0;0;0;5,5236478796e-05;0;0;0;-0,185094035593449;-1,058244583419;-1,24333861901245;0;0,004911020746104;0,004911020746104;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"3";"saint_louis";0,023646147634617;"suburban";"suburban";3;0;19684,861871859;0;0;0;0;0,000265958952314;0;0;0;-0,185094035593449;-0,881407418620351;-1,0665014542138;0;0,023646147634617;0,023646147634617;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"4";"saint_louis";0,076686820584791;"pericentral";"pericentral";4;8;57568,965558265;0;0;0;0,000884857869705;0,000777804887092;0;0;0;-0,009028478010918;-0,451869067020469;-0,460897545031387;0,007532956685499;0,069153863899291;0,076686820584791;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"5";"saint_louis";0,05619935359456;"suburban";"suburban";5;6;42081,3833733913;0;0;0;0,000663643402279;0,000568554694809;0;0;0;-0,053044867406551;-0,627470701337225;-0,680515568743776;0,005649717514124;0,050549636080435;0,05619935359456;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"6";"saint_louis";0,016617147485683;"suburban";"suburban";6;0;13833,3845332642;0;0;0;0;0,000186900598103;0;0;0;-0,185094035593449;-0,947752763656084;-1,13284679924953;0;0,016617147485683;0,016617147485683;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"7";"saint_louis";0,004785393393166;"suburban";"suburban";7;0;3983,72747233782;0;0;0;0;5,3823490952e-05;0;0;0;-0,185094035593449;-1,0594303552073;-1,24452439080075;0;0,004785393393166;0,004785393393166;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"8";"saint_louis";0,019976830785673;"suburban";"suburban";8;0;16630,2418782919;0;0;0;0;0,000224688480695;0;0;0;-0,185094035593449;-0,916041376115079;-1,10113541170853;0;0,019976830785673;0,019976830785673;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant"
"9";"saint_louis";0,014202707944355;"suburban";"suburban";9;0;11823,4203901232;0;0;0;0;0,000159744300986;0;0;0;-0,185094035593449;-0,970542181929412;-1,15563621752286;0;0,014202707944355;0,014202707944355;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"10";"saint_louis";0,058358578179419;"suburban";"suburban";10;0;48582,1440452401;0;0;0;0;0,000656385410045;0;0;0;-0,185094035593449;-0,55376363817835;-0,738857673771799;0;0,058358578179419;0,058358578179419;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"11";"saint_louis";0,041355284227884;"suburban";"suburban";11;0;34427,3016593037;0;0;0;0;0,00046514164742;0;0;0;-0,185094035593449;-0,7142543737106;-0,899348409304049;0;0,041355284227884;0,041355284227884;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low"
"12";"saint_louis";0,01901799776821;"suburban";"suburban";12;0;15832,0359380018;0;0;0;0;0,00021390405066;0;0;0;-0,185094035593449;-0,925091611714357;-1,11018564730781;0;0,01901799776821;0,01901799776821;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"13";"saint_louis";0,018786960207986;"suburban";"suburban";13;0;15639,7026019126;0;0;0;0;0,000211305466382;0;0;0;-0,185094035593449;-0,92727232964358;-1,11236636523703;0;0,018786960207986;0,018786960207986;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"14";"saint_louis";0,039250275744731;"suburban";"suburban";14;1;31891,0554327822;0;0;0;0,000110607233713;0,000430874839067;0;0;0;-0,163085840895633;-0,743010894715011;-0,906096735610644;0,000941619585687;0,038308656159043;0,039250275744731;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"15";"saint_louis";0,084953279615781;"pericentral";"pericentral";15;0;70721,6076224578;0;0;0;0;0,000955508084926;0;0;0;-0,185094035593449;-0,302741500529727;-0,487835536123177;0;0,084953279615781;0,084953279615781;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"16";"saint_louis";0,073500517433947;"pericentral";"pericentral";16;0;61187,4524152644;0;0;0;0;0,000826693671769;0;0;0;-0,185094035593449;-0,410841862240668;-0,595935897834117;0;0,073500517433947;0,073500517433947;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"17";"saint_louis";0,098793663625001;"pericentral";"pericentral";17;0;82243,4018565483;0;0;0;0;0,001111177164203;0;0;0;-0,185094035593449;-0,172104847654126;-0,357198883247576;0;0,098793663625001;0,098793663625001;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"18";"saint_louis";0,024912244284309;"suburban";"suburban";18;0;20738,857560744;0;0;0;0;0,000280199315847;0;0;0;-0,185094035593449;-0,869456982243536;-1,05455101783699;0;0,024912244284309;0,024912244284309;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"19";"saint_louis";0,044966825829569;"suburban";"suburban";19;0;37433,8251180998;0;0;0;0;0,000505762294616;0;0;0;-0,185094035593449;-0,680165745371187;-0,865259780964636;0;0,044966825829569;0,044966825829569;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"20";"saint_louis";0,054505676632548;"suburban";"suburban";20;0;45374,6941076017;0;0;0;0;0,000613050078023;0;0;0;-0,185094035593449;-0,59013041540124;-0,775224450994689;0;0,054505676632548;0,054505676632548;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Low.Low";"Not significant"
"21";"saint_louis";0,085403780127875;"pericentral";"pericentral";21;1;70312,7625422484;0;0;0;0,000110607233713;0,000949984245852;0;0;0;-0,163085840895633;-0,307377076529269;-0,470462917424902;0,000941619585687;0,084462160542188;0,085403780127875;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"22";"saint_louis";0,068844793936636;"pericentral";"pericentral";22;0;57311,6720820661;0;0;0;0;0,000774328636976;0;0;0;-0,185094035593449;-0,454786317394364;-0,639880352987813;0;0,068844793936636;0,068844793936636;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"23";"saint_louis";0,046914201583378;"suburban";"suburban";23;0;39054,9696410334;0;0;0;0;0,000527665313376;0;0;0;-0,185094035593449;-0,661784850000131;-0,84687888559358;0;0,046914201583378;0,046914201583378;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"24";"saint_louis";0,088874445063583;"pericentral";"pericentral";24;0;73985,8856524101;0;0;0;0;0,000999611212018;0;0;0;-0,185094035593449;-0,26573039381975;-0,450824429413199;0;0,088874445063583;0,088874445063583;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"25";"saint_louis";0,06070429397955;"suburban";"suburban";25;0;50534,8972898581;0;0;0;0;0,00068276874006;0;0;0;-0,185094035593449;-0,531622889733627;-0,716716925327077;0;0,06070429397955;0,06070429397955;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
"26";"saint_louis";0,047478193335505;"suburban";"suburban";26;0;39524,4795125368;0;0;0;0;0,000534008784534;0;0;0;-0,185094035593449;-0,656461443171376;-0,841555478764825;0;0,047478193335505;0,047478193335505;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"27";"saint_louis";0,111170475521395;"pericentral";"pericentral";27;0;92546,806722288;0;0;0;0;0,001250384783804;0;0;0;-0,185094035593449;-0,055282563074536;-0,240376598667985;0;0,111170475521395;0,111170475521395;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"28";"saint_louis";0,095021318325412;"pericentral";"pericentral";28;0;79103,0131005105;0;0;0;0;0,001068747884848;0;0;0;-0,185094035593449;-0,207711270358943;-0,392805305952392;0;0,095021318325412;0,095021318325412;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"29";"saint_louis";0,06685364598234;"pericentral";"pericentral";29;1;54870,2120684137;0;0;0;0,000110607233713;0,000741342469658;0;0;0;-0,163085840895633;-0,482468131340449;-0,645553972236082;0,000941619585687;0,065912026396653;0,06685364598234;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"30";"saint_louis";0,116054046466136;"pericentral";"pericentral";30;1;95828,3885345808;0;0;0;0,000110607233713;0,001294721699471;0;0;0;-0,163085840895633;-0,01807526225094;-0,181161103146573;0,000941619585687;0,115112426880448;0,116054046466136;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"31";"saint_louis";0,071227699285023;"pericentral";"pericentral";31;1;58511,5085879964;0;0;0;0,000110607233713;0,000790539431959;0;0;0;-0,163085840895633;-0,44118230555835;-0,604268146453983;0,000941619585687;0,070286079699336;0,071227699285023;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"32";"saint_louis";0,069633188168413;"pericentral";"pericentral";32;1;57184,1155779963;0;0;0;0,000110607233713;0,000772605241892;0;0;0;-0,163085840895633;-0,456232581266608;-0,61931842216224;0,000941619585687;0,068691568582725;0,069633188168413;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"33";"saint_louis";0,03674120208699;"suburban";"suburban";33;1;29802,3106130279;0;0;0;0,000110607233713;0,0004026541491;0;0;0;-0,163085840895633;-0,766693545734468;-0,929779386630101;0,000941619585687;0,035799582501302;0,03674120208699;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"34";"saint_louis";0,011830350129021;"suburban";"suburban";34;0;9848,48829432978;0;0;0;0;0,000133061316137;0;0;0;-0,185094035593449;-0,99293439909709;-1,17802843469054;0;0,011830350129021;0,011830350129021;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"35";"saint_louis";0,008728396417968;"suburban";"suburban";35;0;7266,18477163729;0;0;0;0;9,8172235181e-05;0;0;0;-0,185094035593449;-1,02221312791827;-1,20730716351172;0;0,008728396417968;0,008728396417968;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"36";"saint_louis";0,026094297652227;"suburban";"suburban";36;0;21722,8891938109;0;0;0;0;0,000293494406454;0;0;0;-0,185094035593449;-0,858299813815097;-1,04339384940855;0;0,026094297652227;0,026094297652227;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"Low.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant"
"37";"saint_louis";0,052545246826332;"suburban";"suburban";37;0;43742,6823930028;0;0;0;0;0,000591000234412;0;0;0;-0,185094035593449;-0,608634525396378;-0,793728560989827;0;0,052545246826332;0,052545246826332;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"38";"saint_louis";0,05047497097908;"suburban";"suburban";38;1;41235,3502691389;0;0;0;0,000110607233713;0,000557124079776;0;0;0;-0,163085840895633;-0,637063211905976;-0,800149052801609;0,000941619585687;0,049533351393392;0,05047497097908;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"39";"saint_louis";0,07182652353679;"pericentral";"pericentral";39;0;59793,8918594795;0;0;0;0;0,000807865502803;0;0;0;-0,185094035593449;-0,426642360226351;-0,6117363958198;0;0,07182652353679;0,07182652353679;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant"
"40";"saint_louis";0,067077648875359;"pericentral";"pericentral";40;0;55840,5653725811;0;0;0;0;0,000754452754598;0;0;0;-0,185094035593449;-0,471466050832177;-0,656560086425626;0;0,067077648875359;0,067077648875359;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"41";"saint_louis";0,07337272769604;"pericentral";"pericentral";41;1;60297,1943002969;0;0;0;0,000110607233713;0,000814665539843;0;0;0;-0,163085840895633;-0,420935805768195;-0,584021646663828;0,000941619585687;0,072431108110353;0,07337272769604;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"42";"saint_louis";0,060152078753943;"suburban";"suburban";42;1;49291,314936652;0;0;0;0,000110607233713;0,000665966902083;0;0;0;-0,163085840895633;-0,5457229016673;-0,708808742562933;0,000941619585687;0,059210459168255;0,060152078753943;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"43";"saint_louis";0,077285497438418;"pericentral";"pericentral";43;0;64338,3592660145;0;0;0;0;0,000869265059383;0;0;0;-0,185094035593449;-0,375116183050279;-0,560210218643729;0;0,077285497438418;0,077285497438418;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"44";"saint_louis";0,096872426989189;"pericentral";"pericentral";44;0;80644,0175346921;0;0;0;0;0,001089568143964;0;0;0;-0,185094035593449;-0,190239021049691;-0,37533305664314;0;0,096872426989189;0,096872426989189;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"45";"saint_louis";0,210590072056057;"central";"central";45;2;173743,53068124;0;0;0;0,000221214467426;0,002347420453956;0;0;0;-0,141077646197816;0,865343862545606;0,724266216347789;0,001883239171375;0,208706832884682;0,210590072056057;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"46";"saint_louis";0,083536994178231;"pericentral";"pericentral";46;0;69542,5832993378;0;0;0;0;0,000939578479945;0;0;0;-0,185094035593449;-0,316109539231164;-0,501203574824613;0;0,083536994178231;0,083536994178231;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Not significant"
"47";"saint_louis";0,056061069684341;"suburban";"suburban";47;1;45885,6460853867;0;0;0;0,000110607233713;0,000619953466707;0;0;0;-0,163085840895633;-0,584337128800052;-0,747422969695684;0,000941619585687;0,055119450098653;0,056061069684341;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"48";"saint_louis";0,070597694649723;"pericentral";"pericentral";48;1;57987,0445435296;0;0;0;0,000110607233713;0,00078345348395;0;0;0;-0,163085840895633;-0,447128794961886;-0,610214635857519;0,000941619585687;0,069656075064036;0,070597694649723;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"49";"saint_louis";0,062460114033491;"pericentral";"pericentral";49;0;51996,5761970418;0;0;0;0;0,000702517244942;0;0;0;-0,185094035593449;-0,515050050804742;-0,700144086398191;0;0,062460114033491;0,062460114033491;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"50";"saint_louis";0,066832590333679;"pericentral";"pericentral";50;1;54852,6837360225;0;0;0;0,000110607233713;0,000741105647223;0;0;0;-0,163085840895633;-0,482666871452237;-0,64575271234787;0,000941619585687;0,065890970747992;0,066832590333679;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"51";"saint_louis";0,076337904218822;"pericentral";"pericentral";51;1;62765,6340300395;0;0;0;0,000110607233713;0,000848016225697;0;0;0;-0,163085840895633;-0,39294808983029;-0,556033930725922;0,000941619585687;0,075396284633135;0,076337904218822;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"52";"saint_louis";0,053962210611972;"suburban";"suburban";52;1;44138,3952618487;0;0;0;0,000110607233713;0,000596346646325;0;0;0;-0,163085840895633;-0,604147845315521;-0,767233686211154;0,000941619585687;0,053020591026284;0,053962210611972;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"53";"saint_louis";0,030346480151158;"suburban";"suburban";53;1;24478,8549719277;0;0;0;0,000110607233713;0,000330729809767;0;0;0;-0,163085840895633;-0,827052063909302;-0,990137904804935;0,000941619585687;0,029404860565471;0,030346480151158;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
