"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"san_diego";0;"suburban";"suburban";1;0;0;0;0;0;0;0;0;0;0;-0,318243581350879;-0,835054175258519;-1,1532977566094;0;0;0;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"2";"san_diego";0,024504540923005;"suburban";"suburban";2;5;3739,12890745101;0;0;0;0,000490340296166;0,000243307018571;0;0;0;-0,225863371406915;-0,745834467019829;-0,971697838426745;0,007716049382716;0,016788491540288;0,024504540923005;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"3";"san_diego";0,138624407663098;"pericentral";"pericentral";3;5;29155,8789244694;0;0;0;0,000490340296166;0,001897187861263;0;0;0;-0,225863371406915;-0,139362992774778;-0,365226364181694;0,007716049382716;0,130908358280382;0,138624407663098;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"4";"san_diego";0,135610497906665;"pericentral";"pericentral";4;0;30203,138361764;0;0;0;0;0,00196533356516;0;0;0;-0,318243581350879;-0,114374236366982;-0,432617817717862;0;0,135610497906665;0,135610497906665;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"5";"san_diego";0;"suburban";"suburban";5;0;0;0;0;0;0;0;0;0;0;-0,318243581350879;-0,835054175258519;-1,1532977566094;0;0;0;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"6";"san_diego";0;"suburban";"suburban";6;0;0;0;0;0;0;0;0;0;0;-0,318243581350879;-0,835054175258519;-1,1532977566094;0;0;0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"7";"san_diego";0,167959477645469;"pericentral";"pericentral";7;0;37407,8955597315;0;0;0;0;0,002434150778139;0;0;0;-0,318243581350879;0,057539156041696;-0,260704425309183;0;0,167959477645469;0,167959477645469;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"8";"san_diego";0,152591437072373;"pericentral";"pericentral";8;3;32954,0191315101;0;0;0;0,000294204177699;0,002144334775093;0;0;0;-0,262815455384501;-0,048735210339532;-0,311550665724033;0,00462962962963;0,147961807442743;0,152591437072373;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"9";"san_diego";0,056606358997314;"pericentral";"pericentral";9;9;9514,02494692745;0;0;0;0,000882612533098;0,000619082439182;0;0;0;-0,151959203451744;-0,608039126847379;-0,759998330299123;0,013888888888889;0,042717470108425;0,056606358997314;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low"
"10";"san_diego";0;"suburban";"suburban";10;0;0;0;0;0;0;0;0;0;0;-0,318243581350879;-0,835054175258519;-1,1532977566094;0;0;0;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant"
"11";"san_diego";0;"suburban";"suburban";11;0;0;0;0;0;0;0;0;0;0;-0,318243581350879;-0,835054175258519;-1,1532977566094;0;0;0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Low.Low"
"12";"san_diego";0,012704307614298;"suburban";"suburban";12;0;2829,50041912795;0;0;0;0;0,00018411703048;0;0;0;-0,318243581350879;-0,767539198346974;-1,08578277969785;0;0,012704307614298;0,012704307614298;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"13";"san_diego";0,10036434227474;"pericentral";"pericentral";13;0;22353,1228268016;0;0;0;0;0,001454529064214;0;0;0;-0,318243581350879;-0,301684198936844;-0,619927780287723;0;0,10036434227474;0,10036434227474;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"14";"san_diego";0,059957420184674;"pericentral";"pericentral";14;0;13353,7025938692;0;0;0;0;0,00086893221534;0;0;0;-0,318243581350879;-0,51642021563303;-0,834663796983909;0;0,059957420184674;0,059957420184674;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant"
"15";"san_diego";0,165484063901403;"pericentral";"pericentral";15;0;36856,5719898844;0;0;0;0;0,002398275873217;0;0;0;-0,318243581350879;0,044383972237027;-0,273859609113853;0;0,165484063901403;0,165484063901403;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
