"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"seattle";0,014407843040561;"suburban";"suburban";1;0;11322,462924313;0;0;0;0;0,000159215222853;0;0;0;-0,211710434302169;-0,778254704273948;-0,989965138576117;0;0,014407843040561;0,014407843040561;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"2";"seattle";0,007569734489081;"suburban";"suburban";2;0;5948,70709364472;0;0;0;0;8,3650061999e-05;0;0;0;-0,211710434302169;-0,822713709438231;-1,0344241437404;0;0,007569734489081;0,007569734489081;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"3";"seattle";0,011598118354296;"suburban";"suburban";3;0;9114,42918198194;0;0;0;0;0,000128166096289;0;0;0;-0,211710434302169;-0,796522557642529;-1,0082329919447;0;0,011598118354296;0,011598118354296;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"4";"seattle";0,08857122233016;"pericentral";"pericentral";4;0;69604,060661341;0;0;0;0;0,000978764611884;0;0;0;-0,211710434302169;-0,296070188188302;-0,50778062249047;0;0,08857122233016;0,08857122233016;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"5";"seattle";0,060193383016777;"pericentral";"pericentral";5;0;47303,2185024324;0;0;0;0;0,000665172633011;0;0;0;-0,211710434302169;-0,480573036466669;-0,692283470768837;0;0,060193383016777;0,060193383016777;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low"
"6";"seattle";0,000187235157658;"suburban";"suburban";6;0;147,139521491516;0;0;0;0;2,069059697e-06;0;0;0;-0,211710434302169;-0,870712154246472;-1,08242258854864;0;0,000187235157658;0,000187235157658;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"Low.Low";"Not significant";"Not significant";"Low.Low";"Low.Low";"Low.Low";"Low.Low"
"7";"seattle";0,031879301781343;"suburban";"suburban";7;0;25052,4808922525;0;0;0;0;0,000352285218768;0;0;0;-0,211710434302169;-0,664661351881826;-0,876371786183995;0;0,031879301781343;0,031879301781343;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"8";"seattle";0,111653270288888;"pericentral";"pericentral";8;2;87279,8259382901;0;0;0;7,3078047355e-05;0,001227319270573;0;0;0;-0,198141533737035;-0,149832256191899;-0,347973789928935;0,000589622641509;0,111063647647379;0,111653270288888;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"9";"seattle";0,134121655909066;"pericentral";"pericentral";9;2;104936,699520092;0;0;0;7,3078047355e-05;0,001475608276331;0;0;0;-0,198141533737035;-0,003750621950475;-0,20189215568751;0,000589622641509;0,133532033267557;0,134121655909066;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"10";"seattle";0,087620986142136;"pericentral";"pericentral";10;1;68625,6349374159;0;0;0;3,6539023677e-05;0,00096500609744;0;0;0;-0,204925984019602;-0,304165054364506;-0,509091038384108;0,000294811320755;0,087326174821381;0,087620986142136;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
