"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"vancouver";0,00408746536067;"suburban";"suburban";1;0;3279,78163732958;0;0;0;0;0,000164133746785;0;0;0;-0,370598193063433;-0,784555132612297;-1,15515332567573;0;0,00408746536067;0,00408746536067;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"2";"vancouver";0,030197129965048;"pericentral";"pericentral";2;1;23897,916215955;0;0;0;5,4297659771e-05;0,001195949902343;0;0;0;-0,367137103352465;-0,66007571744717;-1,02721282079963;0,000414078674948;0,0297830512901;0,030197129965048;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"3";"vancouver";0,001739009967398;"suburban";"suburban";3;0;1395,38135615412;0;0;0;0;6,983061542e-05;0;0;0;-0,370598193063433;-0,79593196420893;-1,16653015727236;0;0,001739009967398;0,001739009967398;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"4";"vancouver";0,099429071483039;"pericentral";"pericentral";4;14;75130,279742207;0;0;0;0,000760167236792;0,003759827840583;0;0;0;-0,322142937109871;-0,350766714493704;-0,672909651603575;0,005797101449275;0,093631970033764;0,099429071483039;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low"
"5";"vancouver";0,022982311040473;"pericentral";"pericentral";5;3;17444,2331711241;0;0;0;0,000162892979313;0,00087298109044;0;0;0;-0,360214923930527;-0,69903902365793;-1,05925394758846;0,001242236024845;0,021740075015628;0,022982311040473;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"6";"vancouver";0;"suburban";"suburban";6;0;0;0;0;0;0;0;0;0;0;-0,370598193063433;-0,804356405056573;-1,17495459812001;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"vancouver";0,001496030391763;"suburban";"suburban";7;0;1200,41457843396;0;0;0;0;6,0073676921e-05;0;0;0;-0,370598193063433;-0,79710905180503;-1,16770724486846;0;0,001496030391763;0,001496030391763;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"8";"vancouver";0,062150778183699;"pericentral";"pericentral";8;17;44221,4123660287;0;0;0;0,000923060216105;0,002213021140534;0;0;0;-0,311759667976965;-0,537375145034836;-0,849134813011801;0,00703933747412;0,055111440709579;0,062150778183699;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Not significant"
"9";"vancouver";0,085906944718055;"pericentral";"pericentral";9;52;51654,3735985293;0;0;0;0,002823478308085;0,002584997055915;0;0;0;-0,190621528093061;-0,492499568942422;-0,683121097035483;0,021532091097308;0,064374853620747;0,085906944718055;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant";"Low.Low"
"10";"vancouver";0,007097123833581;"suburban";"suburban";10;5;4033,44782156247;0;0;0;0,000271488298854;0,000201850298775;0;0;0;-0,35329274450859;-0,780004967053659;-1,13329771156225;0,002070393374741;0,00502673045884;0,007097123833581;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low";"Low.Low"
"11";"vancouver";0,341278367154868;"central";"central";11;304;172835,686320534;0;0;0;0,016506488570343;0,008649407768799;0;0;0;0,681573079071051;0,239117487831255;0,920690566902306;0,125879917184265;0,215398449970604;0,341278367154868;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.High"
"12";"vancouver";0,07841484455637;"pericentral";"pericentral";12;31;52620,1035658723;0;0;0;0,001683227452897;0,00263332615079;0;0;0;-0,263304412023404;-0,486669094750692;-0,749973506774096;0,012836438923395;0,065578405632974;0,07841484455637;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
