metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS;cluster
albany;0,113;0,340;0,390;0,666;0,599;0,275;0,273;0,275;0,273;0,0532913482512721;0,0396974865516082;0,13140804597701150;0,03076923076923077;0,0463861920172600;0,381205164992826;0,0127201565557730;0,2938271604938272;1;0,0859950859950860;0,000000000000000000;0,000000000000000000;0,0638820638820639;0,850122850122850;0,01965601965601966;0,002457002457002457;0,02457002457002457;0,3439803439803440;0,609336609336609;0,02948402948402949;0,002457002457002457;0,0368550368550369;0,4103194103194103;0,520884520884521;2
atlanta;0,111;0,335;0,424;0,806;0,753;0,234;0,196;0,234;0,196;0,1725205109647627;0,1659551920944269;0,57057471264367821;0,21538461538461540;0,1305285868392665;0,392395982783357;0,1854207436399217;0,3578875171467764;1;0,1255411255411255;0,000000000000000000;0,000865800865800866;0,1714285714285714;0,702164502164502;0,02251082251082251;0,006926406926406926;0,02857142857142857;0,3627705627705627;0,579220779220779;0,02683982683982684;0,006060606060606061;0,0415584415584416;0,3177489177489177;0,607792207792208;2
austin;0,113;0,325;0,480;0,700;0,674;0,320;0,331;0,320;0,331;0,0676262592685305;0,0700843893452467;0,23324712643678161;0,03076923076923077;0,0291262135922330;0,213342898134864;0,0136986301369863;0,1552812071330590;1;0,0809859154929577;0,000000000000000000;0,000000000000000000;0,0757042253521127;0,843309859154930;0,03345070422535211;0,005281690140845070;0,01584507042253521;0,3362676056338028;0,609154929577465;0,05105633802816902;0,008802816901408451;0,0316901408450704;0,3080985915492958;0,600352112676056;2
belo_horizonte;0,128;0,314;0,324;0,733;0,708;0,558;0,395;0,558;0,395;0,0502414943646444;0,2306796430928217;0,18465517241379312;0,25384615384615383;0,0355987055016181;0,236728837876614;0,0655577299412916;0,1659807956104253;1;0,0725490196078431;0,000000000000000000;0,003921568627450980;0,0823529411764706;0,841176470588235;0,03725490196078431;0,000000000000000000;0,00392156862745098;0,1647058823529412;0,794117647058823;0,05882352941176471;0,003921568627450980;0,0137254901960784;0,2039215686274510;0,719607843137255;2
berlin;0,133;0,222;0,576;0,468;0,583;0,191;0,225;0,191;0,225;0,2249173593870910;0,2000922072157893;0,02137931034482759;0,38461538461538464;0,0075512405609493;0,149497847919656;0,0000000000000000;0,1207133058984911;1;0,1746031746031746;0,000000000000000000;0,000000000000000000;0,0158730158730159;0,809523809523810;0,03174603174603174;0,000000000000000000;0,03174603174603174;0,0952380952380952;0,841269841269841;0,04761904761904762;0,000000000000000000;0,0317460317460317;0,0952380952380952;0,825396825396825;2
birmingham;0,110;0,349;0,471;0,708;0,685;0,181;0,159;0,181;0,159;0,0682629959673785;0,0520065195729234;0,31261494252873562;0,04615384615384616;0,0388349514563107;0,276901004304161;0,0141878669275930;0,2419753086419753;1;0,0772357723577236;0,001355013550135501;0,000000000000000000;0,0718157181571816;0,849593495934959;0,00813008130081301;0,001355013550135501;0,02168021680216802;0,3428184281842818;0,626016260162602;0,00948509485094851;0,005420054200542005;0,0325203252032520;0,4850948509485095;0,467479674796748;2
bordeaux;0,074;0,351;0,254;0,536;0,510;0,311;0,282;0,311;0,282;0,0369581586214926;0,0323247558902480;0,07410919540229885;0,20000000000000001;0,0000000000000000;0,000000000000000;0,0000000000000000;0,0000000000000000;1;0,0443303779748017;0,004199720018665422;0,004199720018665422;0,0611292580494634;0,886140923938404;0,00886607559496034;0,001866542230517966;0,00933271115258983;0,3742417172188521;0,605692953803080;0,00979934671021932;0,003733084461035931;0,0247316845543630;0,4447036864209053;0,517032197853476;2
boston;0,127;0,303;0,436;0,756;0,704;0,151;0,175;0,151;0,175;0,1734031222082164;0,1320727015152413;0,25494252873563217;0,04615384615384616;0,3009708737864077;0,628550932568149;0,1330724070450098;0,5599451303155006;1;0,0544323483670296;0,000000000000000000;0,000000000000000000;0,1601866251944012;0,785381026438569;0,02332814930015552;0,007776049766718507;0,02799377916018662;0,2488335925349922;0,692068429237947;0,02643856920684292;0,009331259720062209;0,0295489891135303;0,1990668740279938;0,735614307931571;3
buffalo;0,167;0,336;0,616;0,780;0,750;0,485;0,386;0,485;0,386;0,0761454602307222;0,0514651683024997;0,09278735632183908;0,00769230769230769;0,0496224379719525;0,215064562410330;0,0171232876712329;0,1288065843621399;0;0,0982142857142857;0,000000000000000000;0,002976190476190476;0,2470238095238095;0,651785714285714;0,02976190476190476;0,005952380952380952;0,01488095238095238;0,4345238095238095;0,514880952380952;0,03571428571428571;0,011904761904761904;0,0208333333333333;0,3571428571428572;0,574404761904762;1
charlotte;0,111;0,330;0,428;0,745;0,691;0,290;0,292;0,290;0,292;0,1373733359218127;0,1246883383593279;0,29807471264367819;0,06923076923076923;0,1218985976267530;0,309899569583931;0,0601761252446184;0,2615912208504801;1;0,1029619181946403;0,000000000000000000;0,000000000000000000;0,1241184767277856;0,772919605077574;0,02256699576868829;0,005641748942172073;0,01269393511988716;0,2496473906911142;0,709449929478138;0,03102961918194640;0,005641748942172073;0,0282087447108604;0,3540197461212976;0,581100141043724;2
chicago;0,156;0,301;0,560;0,838;0,820;0,415;0,200;0,415;0,200;0,1761817967956476;0,1473756420291205;0,63689655172413795;0,10000000000000001;0,2222222222222222;1,000000000000000;0,1922700587084149;1,0000000000000000;1;0,1454545454545454;0,000000000000000000;0,001581027667984190;0,2039525691699605;0,649011857707510;0,04347826086956522;0,005533596837944664;0,01264822134387352;0,2545454545454545;0,683794466403162;0,06166007905138340;0,003162055335968379;0,0229249011857708;0,1351778656126482;0,777075098814229;3
cincinnati;0,118;0,329;0,398;0,761;0,716;0,370;0,306;0,370;0,306;0,0410906707878659;0,0306428640184096;0,23014367816091955;0,10769230769230770;0,1089536138079827;0,318507890961263;0,0489236790606654;0,2216735253772291;0;0,1137521222410866;0,001697792869269949;0,000000000000000000;0,0933786078098472;0,791171477079796;0,02716468590831918;0,005093378607809848;0,00679117147707980;0,2937181663837012;0,667232597623090;0,04244482173174872;0,000000000000000000;0,0373514431239389;0,3921901528013582;0,528013582342954;1
cleveland;0,188;0,319;0,442;0,809;0,774;0,304;0,263;0,304;0,263;0,1298677863101809;0,0869389007162882;0,21333333333333335;0,03076923076923077;0,1477885652642934;0,519368723098996;0,0626223091976517;0,4204389574759945;0;0,1219963031423290;0,000000000000000000;0,001848428835489834;0,3807763401109057;0,495378927911275;0,03327171903881700;0,007393715341959334;0,01848428835489834;0,2902033271719039;0,650646950092421;0,04251386321626617;0,009242144177449169;0,0369685767097967;0,3567467652495379;0,554528650646950;1
