metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl
albany;0,113;0,340;0,390;0,666;0,599;0,275;0,273;0,275;0,273;825920;879085;7607;5;2003;2013;10;54;27,87;48;28,32;Yes
atlanta;0,111;0,335;0,424;0,806;0,753;0,234;0,196;0,234;0,196;2621089;3603409;22890;29;1998;2008;10;132;28,65;401;32,99;Yes
austin;0,113;0,325;0,480;0,700;0,674;0,320;0,331;0,320;0,331;1041753;1534758;11151;5;2003;2013;10;38;16,17;50;18,22;Yes
belo_horizonte;0,128;0,314;0,324;0,733;0,708;0,558;0,395;0,558;0,395;780000;5000000;9460;34;1995;2015;20;44;17,8;156;19;Yes
berlin;0,133;0,222;0,576;0,468;0,583;0,191;0,225;0,191;0,225;3410000;4340000;3778;51;1994;2014;20;18;11,72;22;15,7;Yes
birmingham;0,110;0,349;0,471;0,708;0,685;0,181;0,159;0,181;0,159;1051340;1144683;13913;7;2003;2013;10;47;20,6;51;24,54;Yes
bordeaux;0,074;0,351;0,254;0,536;0,510;0,311;0,282;0,311;0,282;580000;720000;5613;27;1970;2012;42;11;1,3;22;6,9;Yes
boston;0,127;0,303;0,436;0,756;0,704;0,151;0,175;0,151;0,175;2634378;2872310;11906;7;2003;2013;10;290;45,11;294;47,72;Yes
brussels;0,159;0,237;0,120;0,090;0,136;0,092;0,235;0,092;0,235;1660000;2500000;2300;19;1982;2012;30;NA;18,7;10553;21,2;Yes
buffalo;0,167;0,336;0,616;0,780;0,750;0,485;0,386;0,485;0,386;1170022;1133002;6263;2;2003;2013;10;57;16,29;57;16,29;Not
charlotte;0,111;0,330;0,428;0,745;0,691;0,290;0,292;0,290;0,292;2091897;2712974;13407;10;2003;2013;10;124;22,9;145;25,97;Yes
chicago;0,156;0,301;0,560;0,838;0,820;0,415;0,200;0,415;0,200;2676215;3202509;25198;14;1998;2013;15;217;71;415;79,8;Yes
cincinnati;0,118;0,329;0,398;0,761;0,716;0,370;0,306;0,370;0,306;642221;683709;11043;15;2003;2013;10;112;23,5;122;23,06;Not
cleveland;0,188;0,319;0,442;0,809;0,774;0,304;0,263;0,304;0,263;1978890;1898436;10458;5;2003;2013;10;148;37,5;150;37,55;Not
columbus;0,115;0,339;0,418;0,800;0,755;0,343;0,354;0,343;0,354;1625491;1785971;12667;10;2003;2013;10;208;21,92;195;22,4;Yes
dallas;0,142;0,325;0,466;0,830;0,748;0,192;0,180;0,192;0,180;2846428;4321973;24982;13;2003;2013;10;338;30,8;402;29,98;Not
dayton;0,138;0,309;0,388;0,639;0,583;0,280;0,244;0,280;0,244;269526;271791;3368;3;2003;2013;10;54;21,58;49;28,71;Yes
