metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS;log_sprawl_
albany;0,113;0,340;0,390;0,666;0,599;0,275;0,273;0,275;0,273;825920;879085;7607;5;2003;2013;10;54;27,87;48;28,32;Yes;0,0859950859950860;0,000000000000000000;0,000000000000000000;0,0638820638820639;0,850122850122850;0,01965601965601966;0,002457002457002457;0,02457002457002457;0,3439803439803440;0,609336609336609;0,02948402948402949;0,002457002457002457;0,0368550368550369;0,4103194103194103;0,520884520884521;1
atlanta;0,111;0,335;0,424;0,806;0,753;0,234;0,196;0,234;0,196;2621089;3603409;22890;29;1998;2008;10;132;28,65;401;32,99;Yes;0,1255411255411255;0,000000000000000000;0,000865800865800866;0,1714285714285714;0,702164502164502;0,02251082251082251;0,006926406926406926;0,02857142857142857;0,3627705627705627;0,579220779220779;0,02683982683982684;0,006060606060606061;0,0415584415584416;0,3177489177489177;0,607792207792208;1
austin;0,113;0,325;0,480;0,700;0,674;0,320;0,331;0,320;0,331;1041753;1534758;11151;5;2003;2013;10;38;16,17;50;18,22;Yes;0,0809859154929577;0,000000000000000000;0,000000000000000000;0,0757042253521127;0,843309859154930;0,03345070422535211;0,005281690140845070;0,01584507042253521;0,3362676056338028;0,609154929577465;0,05105633802816902;0,008802816901408451;0,0316901408450704;0,3080985915492958;0,600352112676056;1
belo_horizonte;0,128;0,314;0,324;0,733;0,708;0,558;0,395;0,558;0,395;780000;5000000;9460;34;1995;2015;20;44;17,80;156;19,00;Yes;0,0725490196078431;0,000000000000000000;0,003921568627450980;0,0823529411764706;0,841176470588235;0,03725490196078431;0,000000000000000000;0,00392156862745098;0,1647058823529412;0,794117647058823;0,05882352941176471;0,003921568627450980;0,0137254901960784;0,2039215686274510;0,719607843137255;1
berlin;0,133;0,222;0,576;0,468;0,583;0,191;0,225;0,191;0,225;3410000;4340000;3778;51;1994;2014;20;18;11,72;22;15,70;Yes;0,1746031746031746;0,000000000000000000;0,000000000000000000;0,0158730158730159;0,809523809523810;0,03174603174603174;0,000000000000000000;0,03174603174603174;0,0952380952380952;0,841269841269841;0,04761904761904762;0,000000000000000000;0,0317460317460317;0,0952380952380952;0,825396825396825;1
birmingham;0,110;0,349;0,471;0,708;0,685;0,181;0,159;0,181;0,159;1051340;1144683;13913;7;2003;2013;10;47;20,60;51;24,54;Yes;0,0772357723577236;0,001355013550135501;0,000000000000000000;0,0718157181571816;0,849593495934959;0,00813008130081301;0,001355013550135501;0,02168021680216802;0,3428184281842818;0,626016260162602;0,00948509485094851;0,005420054200542005;0,0325203252032520;0,4850948509485095;0,467479674796748;1
bordeaux;0,074;0,351;0,254;0,536;0,510;0,311;0,282;0,311;0,282;580000;720000;5613;27;1970;2012;42;11;1,30;22;6,90;Yes;0,0443303779748017;0,004199720018665422;0,004199720018665422;0,0611292580494634;0,886140923938404;0,00886607559496034;0,001866542230517966;0,00933271115258983;0,3742417172188521;0,605692953803080;0,00979934671021932;0,003733084461035931;0,0247316845543630;0,4447036864209053;0,517032197853476;1
boston;0,127;0,303;0,436;0,756;0,704;0,151;0,175;0,151;0,175;2634378;2872310;11906;7;2003;2013;10;290;45,11;294;47,72;Yes;0,0544323483670296;0,000000000000000000;0,000000000000000000;0,1601866251944012;0,785381026438569;0,02332814930015552;0,007776049766718507;0,02799377916018662;0,2488335925349922;0,692068429237947;0,02643856920684292;0,009331259720062209;0,0295489891135303;0,1990668740279938;0,735614307931571;1
buffalo;0,167;0,336;0,616;0,780;0,750;0,485;0,386;0,485;0,386;1170022;1133002;6263;2;2003;2013;10;57;16,29;57;16,29;Not;0,0982142857142857;0,000000000000000000;0,002976190476190476;0,2470238095238095;0,651785714285714;0,02976190476190476;0,005952380952380952;0,01488095238095238;0,4345238095238095;0,514880952380952;0,03571428571428571;0,011904761904761904;0,0208333333333333;0,3571428571428572;0,574404761904762;0
charlotte;0,111;0,330;0,428;0,745;0,691;0,290;0,292;0,290;0,292;2091897;2712974;13407;10;2003;2013;10;124;22,90;145;25,97;Yes;0,1029619181946403;0,000000000000000000;0,000000000000000000;0,1241184767277856;0,772919605077574;0,02256699576868829;0,005641748942172073;0,01269393511988716;0,2496473906911142;0,709449929478138;0,03102961918194640;0,005641748942172073;0,0282087447108604;0,3540197461212976;0,581100141043724;1
