metro_name;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl
albany;825920;879085;7607;5;2003;2013;10;54;27,87;48;28,32;Yes
atlanta;2621089;3603409;22890;29;1998;2008;10;132;28,65;401;32,99;Yes
austin;1041753;1534758;11151;5;2003;2013;10;38;16,17;50;18,22;Yes
belo_horizonte;780000;5000000;9460;34;1995;2015;20;44;17,8;156;19;Yes
berlin;3410000;4340000;3778;51;1994;2014;20;18;11,72;22;15,7;Yes
birmingham;1051340;1144683;13913;7;2003;2013;10;47;20,6;51;24,54;Yes
bordeaux;580000;720000;5613;27;1970;2012;42;11;1,3;22;6,9;Yes
boston;2634378;2872310;11906;7;2003;2013;10;290;45,11;294;47,72;Yes
brussels;1660000;2500000;2300;19;1982;2012;30;;18,7;10553;21,2;Yes
buffalo;1170022;1133002;6263;2;2003;2013;10;57;16,29;57;16,29;Not
calgary;34701;39607;5159;2;2002;2012;10;21;5,4;59;8,9;Yes
charlotte;2091897;2712974;13407;10;2003;2013;10;124;22,9;145;25,97;Yes
chicago;2676215;3202509;25198;14;1998;2013;15;217;71;415;79,8;Yes
cincinnati;642221;683709;11043;15;2003;2013;10;112;23,5;122;23,06;Not
cleveland;1978890;1898436;10458;5;2003;2013;10;148;37,5;150;37,55;Not
columbus;1625491;1785971;12667;10;2003;2013;10;208;21,92;195;22,4;Yes
dallas;2846428;4321973;24982;13;2003;2013;10;338;30,8;402;29,98;Not
dayton;269526;271791;3368;3;2003;2013;10;54;21,58;49;28,71;Yes
denver;2316068;2908463;21909;10;2003;2013;10;118;17,11;147;16,43;Not
detroit;2201458;2350511;11190;6;2003;2013;10;196;31,53;210;36,55;Yes
flevoland;370000;400000;1419;6;2007;2013;6;60;;59;;Not
gothemburg;810000;970000;3695;13;2000;2014;14;132;9,1;207;13,3;Yes
grand_rapids;250981;301251;10056;4;2003;2013;10;62;22,16;72;24,53;Yes
greensboro;720580;842338;5235;3;2003;2013;10;88;31,58;88;27,91;Not
greenville;453531;566978;7220;4;2003;2013;10;101;32,03;97;28,82;Not
halifax;386219;407758;6181;1;2002;2012;10;6;3,6;9;4,7;Yes
houston;1193312;1762483;24640;9;2003;2013;10;221;23,69;298;26,15;Yes
indianapolis;824209;1033843;11328;11;2003;2013;10;121;28,9;171;28,9;Not
kansas_city;729993;796646;19199;14;2003;2013;10;159;19,91;153;24,37;Yes
las_vegas;23541;22513;20889;1;2003;2013;10;51;10,73;80;20,54;Yes
los_angeles;12365597;13234696;14761;2;1998;2009;11;220;41,69;515;51,44;Yes
louisville;1135588;1244745;9464;12;2003;2013;10;81;17,51;89;17,19;Not
miami;5007956;5969135;16245;3;2003;2013;10;193;40,64;235;46,54;Yes
milwaukee;1401336;1459422;8798;4;2003;2013;10;101;23,74;98;30,98;Yes
montreal;1310957;1459453;4776;40;2002;2012;10;79;8,8;70;9,1;Yes
nashville;512532;559425;16526;14;2003;2013;10;116;28,29;121;30,37;Yes
new_orleans;1337740;1260281;20541;8;2003;2013;10;77;19,44;83;29,89;Yes
new_york;14983782;16118232;28500;25;2003;2013;10;938;41,78;914;45,05;Yes
noord_holland;2610000;2700000;2670;65;2007;2013;6;318;;278;;Not
orlando;3442581;3985594;10512;4;2003;2013;10;75;19,7;91;19,33;Not
paris;11360000;11900000;12012;131;2004;2012;8;713;17,4;955;21,5;Yes
philadelphia;4264068;4564258;12717;11;2003;2013;10;288;33,89;340;35,9;Yes
phoenix;3251884;4578519;37834;2;1998;2015;17;41;17,86;183;20,6;Yes
pittisburg;1787955;1711755;13975;7;2003;2013;10;92;25,6;98;27,63;Yes
portland;1161090;1365871;18352;7;2003;2013;10;160;24,43;163;25,64;Yes
raleigh;781161;1238938;5563;3;2003;2013;10;76;31,16;77;31,3;Not
richmond;990282;1186339;12204;17;2003;2013;10;58;18,83;87;20,28;Yes
rochester;259409;263632;13891;6;2003;2013;10;45;25,88;48;25,31;Not
saint_louis;2148575;2311690;21032;15;2003;2013;10;148;23,91;144;21;Not
salt_lake_city;939169;1164912;21169;2;2003;2013;10;88;23,11;117;23,42;Yes
san_antonio;1747863;2405335;19250;8;2003;2013;10;47;13,89;67;18,33;Yes
san_diego;2813839;3280850;11730;1;2003;2013;10;84;21,68;86;20,74;Not
san_francisco;4123734;4647924;8897;5;2003;2013;10;305;56,07;349;57,29;Yes
sao_paulo;15080000;21600000;7944;39;1992;2017;25;228;17,5;2066;17,6;Not
seattle;622023;789074;17230;3;1998;2009;11;85;20,6;212;19,31;Not
singapore;;5685800;728;1;;;;;;;;
tampa;2396038;2983928;8740;4;2003;2013;10;63;16,91;79;16,66;Not
toronto;2432492;2745281;7930;21;2002;2012;10;165;16,7;228;17,9;Yes
tucson;843702;1009103;23847;1;2003;2013;10;33;56,66;55;45,8;Not
tulsa;822560;939783;16741;7;2003;2013;10;39;19,6;37;23,63;Yes
utrecht;1220000;1200000;1450;33;2007;2013;6;43;;61;;Yes
vancouver;1536734;1776325;3034;9;2002;2012;10;135;12,8;134;17;Yes
virginia_beach;1931738;2106945;10199;16;2003;2013;10;90;29,72;98;27,6;Not
washington;4709434;5720217;17391;24;2003;2013;10;285;51,87;318;55,01;Yes
winnipeg;697924;761506;5375;10;2002;2012;10;26;4,9;41;4,9;Yes
zuid_holland;3420000;3600000;2818;91;2007;2013;6;168;;185;;Not
