vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
1;62;3,15000000000000e+01;1,80416185526687e+01;3,15000000000000e+01;3,15000000000000e+01;2,29803000000000e+01;1,00000000000000e+00;6,20000000000000e+01;6,10000000000000e+01;0,000000000000000;-1,25820078291462267;2,29128784747792e+00
2;62;1,42419354838710e-01;3,22574420881251e-02;1,43000000000000e-01;1,40180000000000e-01;3,63237000000000e-02;7,40000000000000e-02;2,60000000000000e-01;1,86000000000000e-01;0,786380010361114;1,38406900366534025;4,09669924189318e-03
3;62;3,23887096774194e-01;2,98642309426136e-02;3,34000000000000e-01;3,29300000000000e-01;1,63086000000000e-02;2,22000000000000e-01;3,55000000000000e-01;1,33000000000000e-01;-1,792894858180367;3,02336456804432441;3,79276112247495e-03
4;62;4,39032258064516e-01;1,12494366743033e-01;4,40500000000000e-01;4,45540000000000e-01;7,93191000000000e-02;9,30000000000000e-02;6,67000000000000e-01;5,74000000000000e-01;-0,669342352660229;0,97233381134882313;1,42867988631711e-02
5;62;7,18338709677419e-01;1,34769620494175e-01;7,50500000000000e-01;7,43900000000000e-01;8,00604000000001e-02;9,00000000000000e-02;8,64000000000000e-01;7,74000000000000e-01;-2,383907680943482;7,03473222535403231;1,71157589185276e-02
6;62;6,83758064516129e-01;1,24250762505015e-01;7,08000000000000e-01;7,01260000000000e-01;8,45081999999999e-02;1,36000000000000e-01;8,52000000000000e-01;7,16000000000000e-01;-2,025224800492072;5,66465595366176089;1,57798626180075e-02
7;62;2,87322580645161e-01;1,10678055371298e-01;2,84500000000000e-01;2,82580000000000e-01;1,14160200000000e-01;7,90000000000000e-02;5,58000000000000e-01;4,79000000000000e-01;0,346472108241829;-0,55591901328473670;1,40561270882889e-02
8;62;2,81967741935484e-01;1,10928269208402e-01;2,78500000000000e-01;2,77580000000000e-01;1,14160200000000e-01;7,00000000000000e-03;5,84000000000000e-01;5,77000000000000e-01;0,264886308949652;-0,00723040839395050;1,40879042773783e-02
9;62;2,87322580645161e-01;1,10678055371298e-01;2,84500000000000e-01;2,82580000000000e-01;1,14160200000000e-01;7,90000000000000e-02;5,58000000000000e-01;4,79000000000000e-01;0,346472108241829;-0,55591901328473670;1,40561270882889e-02
10;62;2,81967741935484e-01;1,10928269208402e-01;2,78500000000000e-01;2,77580000000000e-01;1,14160200000000e-01;7,00000000000000e-03;5,84000000000000e-01;5,77000000000000e-01;0,264886308949652;-0,00723040839395050;1,40879042773783e-02
11;61;2,48755183606557e+06;3,17370631271042e+06;1,53673400000000e+06;1,76748785714286e+06;1,21002992040000e+06;2,35410000000000e+04;1,50800000000000e+07;1,50564590000000e+07;2,813256349830312;7,60648968800872893;4,06351454102777e+05
12;62;3,03801770967742e+06;3,79633408649439e+06;1,78114800000000e+06;2,23992412000000e+06;1,46523578880000e+06;2,25130000000000e+04;2,16000000000000e+07;2,15774870000000e+07;2,996751883414199;9,88213998727980325;4,82134911119940e+05
13;62;1,27187096774194e+04;7,63198753604830e+03;1,15290000000000e+04;1,22434800000000e+04;7,76734140000000e+03;7,28000000000000e+02;3,78340000000000e+04;3,71060000000000e+04;0,684103452558462;0,37356920121160719;9,69263386342005e+02
14;62;1,55645161290323e+01;2,19959914140423e+01;8,00000000000000e+00;1,08000000000000e+01;7,41300000000000e+00;1,00000000000000e+00;1,31000000000000e+02;1,30000000000000e+02;3,220143690623683;12,09453798543008674;2,79349370307847e+00
15;61;2,00147540983607e+03;5,54859308707186e+00;2,00300000000000e+03;2,00253061224490e+03;0,00000000000000e+00;1,97000000000000e+03;2,00700000000000e+03;3,70000000000000e+01;-3,788399957500942;16,76939279149583939;7,10424546885916e-01
16;61;2,01283606557377e+03;1,19972674484446e+00;2,01300000000000e+03;2,01293877551020e+03;0,00000000000000e+00;2,00800000000000e+03;2,01700000000000e+03;9,00000000000000e+00;-1,284069936882770;7,51902898771505157;1,53609269181934e-01
17;61;1,13606557377049e+01;5,59771616192784e+00;1,00000000000000e+01;1,01428571428571e+01;0,00000000000000e+00;6,00000000000000e+00;4,20000000000000e+01;3,60000000000000e+01;3,600267328588105;14,57345769557743864;7,16714112123187e-01
18;60;1,45766666666667e+02;1,52976387528412e+02;9,65000000000000e+01;1,18000000000000e+02;7,48713000000000e+01;1,10000000000000e+01;9,38000000000000e+02;9,27000000000000e+02;3,182227901948336;12,34011782554264691;1,97491667086837e+01
19;57;2,57668421052632e+01;1,25926378942356e+01;2,29000000000000e+01;2,43117021276596e+01;8,52495000000000e+00;1,30000000000000e+00;7,10000000000000e+01;6,97000000000000e+01;1,328675923929700;2,16447507566644592;1,66793563517185e+00
20;61;3,80131147540984e+02;1,35779037993609e+03;1,22000000000000e+02;1,53959183673469e+02;9,34038000000000e+01;2,20000000000000e+01;1,05530000000000e+04;1,05310000000000e+04;6,921178779438618;48,69649372262600906;1,73847243849918e+02
21;57;2,77524561403509e+01;1,28030494805927e+01;2,45400000000000e+01;2,60895744680851e+01;8,06534400000000e+00;6,90000000000000e+00;7,98000000000000e+01;7,29000000000000e+01;1,637391582014680;3,49217866340233574;1,69580533061499e+00
22;61;1,63934426229508e+00;4,84175824993562e-01;2,00000000000000e+00;1,67346938775510e+00;0,00000000000000e+00;1,00000000000000e+00;2,00000000000000e+00;1,00000000000000e+00;-0,566157676823838;-1,70664138334119508;6,19923619711116e-02
23;62;9,60016358636904e-02;3,60061059242531e-02;9,41345593793761e-02;9,50375705038941e-02;3,34859732484877e-02;0,00000000000000e+00;1,90104166666667e-01;1,90104166666667e-01;0,200483936614302;-0,00494084923424598;4,57278002516245e-03
24;62;3,38932632327579e-04;7,81779421333570e-04;0,00000000000000e+00;1,45821548441347e-04;0,00000000000000e+00;0,00000000000000e+00;4,19972001866542e-03;4,19972001866542e-03;2,747788836154038;8,53885518561336987;9,92860857954989e-05
25;62;1,78028660023194e-03;2,78691889980468e-03;1,06287551832106e-03;1,29125528973561e-03;1,57581924346281e-03;0,00000000000000e+00;1,88679245283019e-02;1,88679245283019e-02;3,839847375250605;20,18043912980936483;3,53939054214425e-04
26;62;1,27676309103063e-01;7,40014337220878e-02;1,19662123793299e-01;1,20687039324616e-01;6,05546619639630e-02;0,00000000000000e+00;3,80776340110906e-01;3,80776340110906e-01;1,022717120649622;1,41750111856079819;9,39819148090133e-03
27;62;7,74202835800687e-01;8,83957840934169e-02;7,85044092394990e-01;7,77661720752339e-01;7,97530734317126e-02;4,95378927911275e-01;1,00000000000000e+00;5,04621072088725e-01;-0,476332957812290;0,63331126337701926;1,12262758061454e-02
