metro;avg_price;q1_price;q2_price;q3_price;q4_price;avg_size
albany;67,9536000000000;49,083840000;64,584000000;74,9174400000;214,4188800;6700,24073791739
atlanta;86,3365251533742;59,417280000;74,917440000;102,0427200000;280,2945600;5976,54246270491
austin;126,7885894736842;103,334400000;122,709600000;141,4389600000;322,9200000;2054,23047589684
belo horizonte;34,5875124679394;22,800000000;30,910215135;41,9569004550;248,7272727;2174,72596153846
berlin;540,9729926986487;75,504000000;126,251400000;1164,2384107500;2274,3538080;1153,61743243243
birmingham;71,1443747368421;51,990120000;67,167360000;79,4383200000;215,7105600;4513,48549744737
bordeaux;101,7627042253521;72,600000000;95,590000000;121,0000000000;269,8300000;1471,31036619718
boston;122,0591795744681;81,375840000;107,209440000;149,8348800000;449,5046400;5584,25708491915
brussels;102,1947677413043;73,078584495;88,502857140;121,0711764500;193,6000000;1052,43478260870
buffalo;62,6464800000000;42,625440000;64,584000000;75,2403600000;151,1265600;6224,74864803889
calgary;113,8824441209302;85,035600000;102,042720000;127,5534000000;289,1210400;1840,09143323488
charlotte;84,3313789830509;51,667200000;70,396560000;107,2094400000;322,9200000;5530,43021633051
chicago;100,1550583842011;69,750720000;91,709280000;113,6678400000;1550,0160000;6724,88286301616
cincinnati;68,4964800000000;45,531720000;59,417280000;81,3758400000;248,0025600;9769,23682801667
cleveland;62,0746853503185;45,208800000;56,833920000;67,1673600000;227,3356800;7400,91647766115
columbus;64,0882036363636;38,104560000;59,417280000;74,9174400000;307,4198400;13317,83930036162
dallas;93,8755953363229;64,584000000;83,959200000;126,5846400000;293,2113600;3565,32862407803
dayton;51,9371032835821;38,104560000;51,667200000;62,0006400000;107,2094400;9808,00429339552
denver;118,0647709090909;87,188400000;104,626080000;129,1680000000;538,6305600;4088,59357227727
detroit;80,5008309677419;64,584000000;73,625760000;86,5425600000;268,6694400;4890,84223397097
flevoland;84,0748333333333;60,500000000;79,255000000;98,0100000000;363,0000000;3036,22500000000
grand rapids;74,7329142857143;52,635960000;60,708960000;73,6257600000;214,4188800;8297,23416701429
greensboro;60,3777600000000;40,687920000;52,958880000;64,5840000000;171,7934400;4986,27904994872
greenville;56,4683501886792;32,292000000;42,625440000;64,5840000000;236,3774400;8359,35999130189
houston;99,9583377534247;74,917440000;96,876000000;116,2512000000;322,9200000;2992,55916472795
indianapolis;73,8223200000000;49,406760000;72,334080000;91,7092800000;161,4600000;7545,00306968696
kansas city;77,2469438150289;49,083840000;69,750720000;91,7092800000;307,4198400;10509,78212536994
las vegas;115,9609348314607;85,250880000;105,917760000;138,2097600000;474,0465600;4396,56533026854
los angeles;179,1808410810811;129,168000000;155,001600000;193,7520000000;710,4240000;3401,41981446039
louisville;59,7650400000000;42,625440000;55,542240000;65,8756800000;151,1265600;13722,56167250385
miami;137,2294835948645;107,209440000;129,168000000;157,5849600000;1498,3488000;5640,29673628345
milwaukee;56,7647228571429;44,562960000;54,250560000;64,5840000000;151,1265600;5617,91288409286
montreal;261,0442857058823;53,147250000;68,028480000;110,5462800000;3205,1618350;1894,55046237647
nashville;125,9740276363636;94,292640000;118,834560000;144,0223200000;409,4625600;6924,23059982000
new orleans;73,2221100000000;54,250560000;74,917440000;92,3551200000;116,2512000;2513,20954108125
new york;172,6660349478563;109,792800000;151,126560000;215,7105600000;688,4654400;5459,63143532920
noord holland;116,6072827586207;75,020000000;101,640000000;127,0500000000;1210,0000000;1549,09793103448
orlando;96,2947440000000;76,854960000;91,709280000;107,2094400000;335,8368000;5235,73563106667
paris;124,5786265680283;89,540000000;114,950000000;145,2000000000;1085,3700000;2515,16460276616
philadelphia;91,4197655172414;62,000640000;81,375840000;107,2094400000;620,0064000;6346,96594010733
phoenix;102,4779096774193;83,959200000;96,876000000;116,2512000000;333,2534400;4495,88399667742
pittsburgh;82,8429333333333;59,417280000;72,334080000;86,5425600000;215,7105600;5644,95506287037
portland;117,4198628571429;81,375840000;100,751040000;148,5432000000;355,2120000;3981,46188987143
raleigh;102,2272457142857;67,813200000;103,334400000;129,1680000000;248,0025600;3870,76188706905
richmond;96,5952000000000;73,625760000;86,542560000;99,4593600000;311,2948800;5468,72424984783
rochester;58,5072327272727;41,979600000;52,958880000;64,5840000000;148,5432000;10651,29978734318
saint louis;79,0588057731959;56,833920000;72,334080000;86,5425600000;214,4188800;5338,84042630103
salt lake city;94,4699294117647;67,167360000;83,959200000;109,7928000000;232,5024000;5788,51982989608
